q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,variant,lambda_per_node,M,selected
0.05,coarse,2,5716.58581235698,1137.15102974828,209.389016018307,5507.19679633867,1,baseline,1,3,0
0.1,coarse,2,2807.29977116705,388.647597254004,98.3821510297483,2708.9176201373,1,baseline,1,3,0
0.2,coarse,2,1737.10297482838,41.5812356979405,80.2173913043478,1656.88558352403,1,baseline,1,3,0
0.4,coarse,2,1145.59496567506,18.2471395881007,19.9565217391304,1125.63844393593,1,baseline,1,3,0
0.6,coarse,2,1015.10526315789,34.1052631578947,15.6521739130435,999.453089244851,1,baseline,1,3,0
0.8,coarse,2,980.443935926773,16.6613272311213,15.6521739130435,964.79176201373,1,baseline,1,3,0
0.825,fine,2,980.443935926773,16.6613272311213,15.6521739130435,964.79176201373,1,baseline,1,3,0
0.85,fine,2,964.812356979405,1.02974828375289,15.6521739130435,949.160183066362,1,baseline,1,3,0
0.875,fine,2,960.508009153318,5.33409610983983,15.6521739130435,944.855835240275,1,baseline,1,3,0
0.9,fine,2,956.203661327231,9.63844393592677,15.6521739130435,940.551487414188,1,baseline,1,3,0
0.925,fine,2,956.203661327231,9.63844393592677,15.6521739130435,940.551487414188,1,baseline,1,3,0
0.95,fine,2,945.782608695652,0.782608695652186,15.6521739130435,930.130434782609,1,baseline,1,3,0
0.975,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,baseline,1,3,1
1,coarse,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,baseline,1,3,0
0.025,coarse,2,1039.57208237986,104.993135011442,15.6521739130435,1023.91990846682,1,fast_first,1,3,0
0.05,coarse,2,992.224256292906,57.6453089244851,15.6521739130435,976.572082379863,1,fast_first,1,3,0
0.1,coarse,2,992.224256292906,57.6453089244851,15.6521739130435,976.572082379863,1,fast_first,1,3,0
0.2,coarse,2,940.572082379863,5.99313501144167,15.6521739130435,924.919908466819,1,fast_first,1,3,0
0.25,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,1
0.3,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.35,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.4,coarse,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.45,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.5,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.55,fine,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.6,coarse,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.8,coarse,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
1,coarse,2,927.659038901602,6.91990846681921,15.6521739130435,912.006864988558,1,fast_first,1,3,0
0.0125,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,1
0.0171875,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.021875,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.025,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.0265625,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.03125,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.0359375,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.040625,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.0453125,fine,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.05,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.1,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.2,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.4,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.6,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.8,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
1,coarse,2,820.173913043478,1.17391304347825,14.6739130434783,805.5,1,unslotted,1,3,0
0.025,coarse,2,6639.52860411899,358.949656750572,318.130434782609,6321.39816933638,1,batch_clear,1,3,0
0.05,coarse,2,5007.27459954233,123.116704805492,94.9839816933638,4912.29061784897,1,batch_clear,1,3,0
0.1,coarse,2,2624.93135011442,800.279176201373,15.6521739130435,2609.27917620137,1,batch_clear,1,3,0
0.2,coarse,2,1614.76887871854,143.073226544622,28.5652173913043,1586.20366132723,1,batch_clear,1,3,0
0.4,coarse,2,1194.98169336384,41.8077803203662,19.9565217391304,1175.02517162471,1,batch_clear,1,3,0
0.6,coarse,2,1070.38215102975,20.512585812357,28.5652173913043,1041.81693363844,1,batch_clear,1,3,0
0.8,coarse,2,965.718535469108,10.5446224256293,15.6521739130435,950.066361556064,1,batch_clear,1,3,0
0.825,fine,2,947.594965675057,18.2471395881007,15.6521739130435,931.942791762014,1,batch_clear,1,3,0
0.85,fine,2,947.594965675057,18.2471395881007,15.6521739130435,931.942791762014,1,batch_clear,1,3,0
0.875,fine,2,943.29061784897,22.5514874141876,15.6521739130435,927.638443935927,1,batch_clear,1,3,0
0.9,fine,2,943.29061784897,22.5514874141876,15.6521739130435,927.638443935927,1,batch_clear,1,3,0
0.925,fine,2,938.986270022883,26.8558352402746,15.6521739130435,923.33409610984,1,batch_clear,1,3,0
0.95,fine,2,938.986270022883,26.8558352402746,15.6521739130435,923.33409610984,1,batch_clear,1,3,0
0.975,fine,2,923.354691075515,11.2242562929061,15.6521739130435,907.702517162471,1,batch_clear,1,3,1
1,coarse,2,923.354691075515,11.2242562929061,15.6521739130435,907.702517162471,1,batch_clear,1,3,0
0.025,coarse,2,9877.75743707094,2457.45308924485,687.851258581236,9189.9061784897,1,baseline,1,4,0
0.05,coarse,2,4825.58581235698,1236.15102974828,73.0091533180778,4752.5766590389,1,baseline,1,4,0
0.1,coarse,2,3125.14187643021,706.489702517162,40.8398169336384,3084.30205949657,1,baseline,1,4,0
0.2,coarse,2,1989.02059496568,112.716247139588,54.3913043478261,1934.62929061785,1,baseline,1,4,0
0.4,coarse,2,1466.15560640732,31.3661327231121,28.5652173913043,1437.59038901602,1,baseline,1,4,0
0.6,coarse,2,1224.20594965675,2.16247139588108,19.9565217391304,1204.24942791762,1,baseline,1,4,0
0.8,coarse,2,1260.9061784897,90.5148741418765,19.9565217391304,1240.94965675057,1,baseline,1,4,0
0.825,fine,2,1242.78260869565,98.2173913043479,19.9565217391304,1222.82608695652,1,baseline,1,4,0
0.85,fine,2,1259.32036613272,123.363844393593,19.9565217391304,1239.36384439359,1,baseline,1,4,0
0.875,fine,2,1160.32036613272,24.3638443935927,19.9565217391304,1140.36384439359,1,baseline,1,4,0
0.9,fine,2,1155.10983981693,19.1533180778032,19.9565217391304,1135.1533180778,1,baseline,1,4,0
0.925,fine,2,1145.59496567506,18.2471395881007,19.9565217391304,1125.63844393593,1,baseline,1,4,0
0.95,fine,2,1140.38443935927,13.0366132723112,19.9565217391304,1120.42791762014,1,baseline,1,4,0
0.975,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,baseline,1,4,1
1,coarse,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,baseline,1,4,0
0.025,coarse,2,1191.13043478261,48.1304347826087,19.9565217391304,1171.17391304348,1,fast_first,1,4,0
0.05,coarse,2,1191.13043478261,48.1304347826087,19.9565217391304,1171.17391304348,1,fast_first,1,4,0
0.1,coarse,2,1169.60869565217,26.6086956521739,19.9565217391304,1149.65217391304,1,fast_first,1,4,0
0.2,coarse,2,1169.60869565217,26.6086956521739,19.9565217391304,1149.65217391304,1,fast_first,1,4,0
0.4,coarse,2,1169.60869565217,26.6086956521739,19.9565217391304,1149.65217391304,1,fast_first,1,4,0
0.45,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,1
0.5,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.55,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.6,coarse,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.65,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.7,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.75,fine,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.8,coarse,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
1,coarse,2,1135.17391304348,7.82608695652175,19.9565217391304,1115.21739130435,1,fast_first,1,4,0
0.0125,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,1
0.0171875,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.021875,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.025,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.0265625,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.03125,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.0359375,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.040625,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.0453125,fine,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.05,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.1,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.2,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.4,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.6,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.8,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
1,coarse,2,1027.68878718535,0.267734553775767,18.9782608695652,1008.71052631579,1,unslotted,1,4,0
0.025,coarse,2,12320.1350114416,1152.0823798627,254.471395881007,12065.6636155606,1,batch_clear,1,4,0
0.05,coarse,2,6036.24027459954,505.977116704806,199.421052631579,5836.81922196796,1,batch_clear,1,4,0
0.1,coarse,2,2829.95423340961,230.519450800915,54.3913043478261,2775.56292906178,1,batch_clear,1,4,0
0.2,coarse,2,2107.05034324943,15.5286041189931,32.8695652173913,2074.18077803204,1,batch_clear,1,4,0
0.4,coarse,2,1334.08009153318,17.3409610983982,19.9565217391304,1314.12356979405,1,batch_clear,1,4,0
0.6,coarse,2,1260.9061784897,90.5148741418765,19.9565217391304,1240.94965675057,1,batch_clear,1,4,0
0.8,coarse,2,1150.80549199085,23.4576659038902,19.9565217391304,1130.84897025172,1,batch_clear,1,4,0
0.825,fine,2,1150.80549199085,23.4576659038902,19.9565217391304,1130.84897025172,1,batch_clear,1,4,0
0.85,fine,2,1150.80549199085,23.4576659038902,19.9565217391304,1130.84897025172,1,batch_clear,1,4,0
0.875,fine,2,1146.50114416476,27.7620137299772,19.9565217391304,1126.54462242563,1,batch_clear,1,4,0
0.9,fine,2,1141.29061784897,22.5514874141877,19.9565217391304,1121.33409610984,1,batch_clear,1,4,0
0.925,fine,2,1141.29061784897,22.5514874141877,19.9565217391304,1121.33409610984,1,batch_clear,1,4,0
0.95,fine,2,1141.29061784897,22.5514874141877,19.9565217391304,1121.33409610984,1,batch_clear,1,4,0
0.975,fine,2,1130.86956521739,12.1304347826087,19.9565217391304,1110.91304347826,1,batch_clear,1,4,1
1,coarse,2,1130.86956521739,12.1304347826087,19.9565217391304,1110.91304347826,1,batch_clear,1,4,0
0.025,coarse,2,9364.18077803204,1499.60183066362,525.645308924485,8838.53546910755,1,baseline,1,5,0
0.05,coarse,2,6392.36842105263,132.631578947368,722.286041189931,5670.0823798627,1,baseline,1,5,0
0.1,coarse,2,2859.17848970252,190.87414187643,73.6887871853547,2785.48970251716,1,baseline,1,5,0
0.2,coarse,2,1979.5057208238,86.1899313501144,37.1739130434783,1942.33180778032,1,baseline,1,5,0
0.4,coarse,2,1635.61098398169,34.0846681922196,45.7826086956522,1589.82837528604,1,baseline,1,5,0
0.6,coarse,2,1513.95652173913,25.0434782608696,24.2608695652174,1489.69565217391,1,baseline,1,5,0
0.8,coarse,2,1420.62013729977,35.0114416475972,28.5652173913043,1392.05491990847,1,baseline,1,5,0
0.825,fine,2,1411.10526315789,34.1052631578947,24.2608695652174,1386.84439359268,1,baseline,1,5,0
0.85,fine,2,1411.10526315789,34.1052631578947,24.2608695652174,1386.84439359268,1,baseline,1,5,0
0.875,fine,2,1406.80091533181,38.4096109839817,24.2608695652174,1382.54004576659,1,baseline,1,5,0
0.9,fine,2,1388.67734553776,46.1121281464532,24.2608695652174,1364.41647597254,1,baseline,1,5,0
0.925,fine,2,1373.95194508009,39.9954233409611,24.2608695652174,1349.69107551487,1,baseline,1,5,0
0.95,fine,2,1363.53089244851,29.5743707093822,24.2608695652174,1339.2700228833,1,baseline,1,5,0
0.975,fine,2,1342.68878718535,8.73226544622423,24.2608695652174,1318.42791762014,1,baseline,1,5,1
1,coarse,2,1342.68878718535,8.73226544622423,24.2608695652174,1318.42791762014,1,baseline,1,5,0
