protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
sb_cf,fixed_packet,10,10,5,950,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,10,10,5,950,0.01,1,stable,375.5,375,0.00133155792276964,0.05,pass,0.00110009415653038,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,10,10,5,950,0.2,1,stable,375.5,375.5,0,0.05,pass,0.0107695400721901,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,10,10,6,1140,0.2,1,stable,375.5,373.5,0.00532623169107856,0.05,pass,0.00531447308169241,0.05,pass,7,1,1,diagnostic_only,present,1,40,0.025,11465,1,0.0088487396849692,1,pass,pass,pass,pass
sb_cf,fixed_packet,10,10,6,1140,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,10,10,6,1140,0.005,1,stable,375.5,374,0.00399467376830892,0.05,pass,0.00564071818622324,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,10,10,6,1140,0.1,1,stable,375.5,370.5,0.0133155792276964,0.05,pass,0.0212442985518023,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,15,15,1,190,0.005,1,stable,603.5,604,0.000828500414250207,0.05,pass,1.19124766516811e-05,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,15,15,2,380,0.2,0.5,mixed,603.5,411.5,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cf,fixed_packet,15,15,2,380,0.0005,1,stable,603.5,581,0.0372825186412593,0.05,pass,0.047399893673312,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cb,fixed_packet,15,15,2,380,0.02,1,stable,603.5,603.5,0,0.05,pass,7.81033165873003e-17,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cf,fixed_packet,15,15,3,570,0.1,0,unstable,603.5,187,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cf,fixed_packet,15,15,3,570,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cb,fixed_packet,15,15,3,570,0.005,1,stable,603.5,604.5,0.00165700082850041,0.05,pass,0.000279414165391447,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
s7_busy,fixed_packet,15,15,3,570,0.2,0.5,mixed,603.5,406.5,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
