protocol,max_stable_lambda,boundary_delay_us,boundary_best_q
sf_cb,40,12781.5721287266,0.052414827884178
sb_cb,45,5400.85952044432,0.0102811198957876
unslotted,45,6243.84542590285,0.00863081414249491
s7_clean,70,2361.82850587269,0.05
s7_busy,35,22918.1680578798,0.0729942725678815
sf_cf,50,6163.46002851486,0.0729942725678815
sb_cf,NaN,NaN,NaN
