protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_source,cca_variant,cca_mode,rx_sens_dbm,n_eval_runs,stable_fraction,mean_delay_us,p95_delay_us,normalized_goodput_units_s,backlog_slope_pkt_s,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,harmful_missed_opportunities,false_alarm_opportunities,late_start_handshake,late_start_data,late_start_attempts,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,30,30,1,190,0.1,primary_tuned,directional,directional,-62,1,1,594.090909090909,1498,1100,48.4848484848486,64380,59733,0.927819198508854,16,46,0,278,0.741935483870968,0,46,0,1,0,NaN,4,4,NaN,NaN,0,NaN,NaN,NaN,NaN
sb_cb,fixed_packet,30,30,1,190,0.1,primary_tuned,directional_-57dBm,directional,-57,1,0,NaN,NaN,600,1327.27272727273,240851,229968,0.9548143873183,619,6804,0,2784,0.916610534824195,0,6804,0,666,601,NaN,1728,1658,NaN,NaN,36,NaN,NaN,NaN,NaN
sb_cb,fixed_packet,30,30,1,190,0.1,primary_tuned,disabled,disabled,-62,1,0,NaN,NaN,700,375.757575757576,170756,158389,0.927575019325822,0,1563,0,1494,1,0,1563,0,117,87,NaN,310,269,NaN,NaN,22,NaN,NaN,NaN,NaN
sb_cb,fixed_packet,30,30,1,190,0.1,primary_tuned,oracle,oracle,-62,1,1,715.384615384615,1815,1300,1.99075425240794e-13,75960,70774,0.931727224855187,186,0,0,357,0,0,0,0,3,1,NaN,7,7,NaN,NaN,0,NaN,NaN,NaN,NaN
