protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,15,7.5,2,380,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,303592,283072,0.932409286147198,0,1,0,213,1,0,213,1,1,0,0,1,0,NaN,NaN,0,0,NaN,2,4,69,0,0,2760,2760,0,0,0,0,2691,2691,0,0,2,2,210,105,0,0,NaN,40,40,40
sb_cb,fixed_payload,15,5,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,252922,237738,0.93996568111908,0,0,0,131,NaN,0,131,1,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,43,0,0,1720,1716,0,4,0,0,1677,1673,4,0,1,1,80,80,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,3.75,4,760,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,206188,194644,0.944012260655324,0,0,0,86,NaN,0,86,1,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,28,0,0,1120,1116,0,4,0,0,1092,1088,4,0,1,1,80,80,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,3,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,194608,183252,0.94164679766505,0,0,0,68,NaN,0,68,1,0,0,0,0,0,NaN,NaN,1,0,NaN,0,0,22,0,0,880,876,0,4,0,0,858,854,4,0,1,1,80,80,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,2.5,6,1140,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,165248,155544,0.941276142525174,0,0,0,48,NaN,0,48,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,16,0,0,640,640,0,0,0,0,624,624,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,30,30,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,877626,816387,0.930221985219216,152,1514,0,7216,0.908763505402161,0,7216,2343,1150,236,280,1514,0,NaN,NaN,76,20,NaN,25,54,305,10,0,12200,11863,19,318,0,10,11895,11568,327,28,146,126,18495,146.785714285714,10,3800,380,4420,4060,4420
sb_cb,fixed_payload,30,15,2,380,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,660128,622179,0.942512664210577,44,185,0,1959,0.807860262008734,0,1959,331,161,40,28,185,0,NaN,NaN,14,12,NaN,2,4,150,3,0,6000,5939,7,54,0,0,5850,5789,61,12,31,28,4280,152.857142857143,3,1710,570,1700,1610,1700
sb_cb,fixed_payload,30,10,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,541188,512605,0.947184712151785,6,3,0,296,0.333333333333333,0,296,13,9,0,0,3,0,NaN,NaN,2,0,NaN,7,14,92,0,0,3680,3673,0,7,0,0,3588,3581,7,0,9,9,955,106.111111111111,0,0,NaN,180,180,180
sb_cb,fixed_payload,30,7.5,4,760,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,500784,476140,0.950789162593054,0,3,0,207,1,0,207,0,0,0,3,3,0,NaN,NaN,1,0,NaN,1,2,68,0,0,2720,2718,0,2,0,0,2652,2650,2,0,2,2,310,155,0,0,NaN,40,40,40
sb_cb,fixed_payload,30,6,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,495372,473848,0.956549825181883,3,0,0,171,0,0,171,3,3,0,0,0,0,NaN,NaN,0,0,NaN,1,2,56,0,0,2240,2240,0,0,0,0,2184,2184,0,0,1,1,165,165,0,0,NaN,20,20,20
