protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,15,15,5,990,0.00324209888662752,5,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,39634588,37475312,0.945520412625457,119705,818631,0,2920297,0.87242842649115,0,2920297,1428392,572693,179015,186628,818631,0,NaN,NaN,2635,919,NaN,500,1007,0,500,1007,8048,814,6,21,429,0,321920,315074,637,6209,0,174,313872,307200,6672,988,4971,4368,623322,142.701923076923,429,509652,1188,503334,485451,503334
sb_cf,fixed_packet,10,10,2,396,0.000910222837963307,5,directional,-62,classic collision: a new DATA frame overlaps any active DATA frame,12466931,11783533,0.945183140902922,137709,2346365,0,7209542,0.94456324570041,0,NaN,0,NaN,NaN,NaN,2346365,0,0,2121,NaN,NaN,2121,33,66,0,2136,4616,NaN,NaN,NaN,NaN,1510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3679,NaN,NaN,NaN,NaN,NaN,NaN,1456884,1004058,1456884
