protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.370409333333333,0.0019136350812466,0.370409333333333,0.0019136350812466,20578.3333333333,106.288719585434,1870.75757575758,9.66261087140309,NaN,0.997891518430958,0.265313333333333,NaN,NaN,7.494575,0
sf_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.0360425,0.00037188654295811,0.0360425,0.00037188654295811,2218,22.885325720499,221.8,2.28853257204991,NaN,0.983902584964972,0.256094166666667,NaN,NaN,0.8381321,0
sb_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00882865195607039,maximum_effective_payload_throughput,0,3,0.226506666666667,0.000590390853653561,0.226506666666667,0.000590390853653561,13938.6666666667,35.8262647291682,1267.15151515152,3.25693315719713,NaN,0.993871981550355,0.344619166666667,NaN,NaN,150.2814895,0
sb_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00464158883361278,maximum_effective_payload_throughput,0,3,0.0512579166666667,0.000119643757092092,0.0512579166666667,0.000119643757092092,3154.33333333333,7.36269274412864,315.433333333333,0.736269274412869,NaN,0.98564115652319,0.105323166666667,NaN,NaN,103.5234348,0
s7_clean,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.0126514899795262,maximum_effective_payload_throughput,0,3,0.0902008833333334,0.000350026662482228,0.0902008833333334,0.000350026662482228,5551,21.6784624301018,504.636363636364,1.97076931182745,NaN,0.992182044485997,0.0427822999999556,0,0,19.3728226,0
s7_busy,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.0387833333333333,0.000125168654001091,0.0387833333333333,0.000125168654001091,2386.66666666667,7.70268640006704,216.969696969697,0.700244218187915,NaN,0.985466648598591,0.14466059999985,2216.66666666667,0.0360208333333333,45.3924229,0
sf_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.371556,0.00143221157766581,0.371556,0.00143221157766581,10321,39.7836549351615,1876.54545454545,7.23339180639304,NaN,0.996187761427476,0.267737333333333,NaN,NaN,3.540671,0
sf_cb,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.0684991666666667,0.003287465876291,0.0684991666666667,0.003287465876291,2107.66666666667,101.152796193569,421.533333333333,20.2305592387139,NaN,0.98271678584883,0.249329166666667,NaN,NaN,0.7753574,0
sb_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.00352534171408709,maximum_effective_payload_throughput,0,3,0.195887666666667,0.00194494987837162,0.195887666666667,0.00194494987837162,6027.33333333333,59.882553200225,1095.87878787879,10.8877369454955,NaN,0.992892013043121,0.280323333333333,NaN,NaN,143.8053682,0
sb_cb,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.00383118684955729,maximum_effective_payload_throughput,0,3,0.094379,0.000299585748882236,0.094379,0.000299585748882236,2903.66666666667,8.78970104408816,580.733333333333,1.75794020881764,NaN,0.986507618588924,0.0799425,NaN,NaN,96.0424768,0
s7_clean,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.0124902476648341,maximum_effective_payload_throughput,0,3,0.1717625,0.000973033572562284,0.1717625,0.000973033572562284,5285,29.9394945403782,960.909090909091,5.44354446188695,NaN,0.991788707282466,0.0409043999999576,0,0,19.5677562,0
s7_busy,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.0223606797749979,maximum_effective_payload_throughput,0,3,0.0730058333333333,0.000294982894042654,0.0730058333333333,0.000294982894042654,2246.33333333333,9.07639673977387,408.424242424242,1.65025395268614,NaN,0.983229199655449,0.112104399999883,2653,0.0862225,40.0925693,0
sf_cf,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.025,fixed_theoretical_q,0,3,0.377429333333333,0.00229789537729155,0.377429333333333,0.00229789537729155,4659.66666666667,28.4556481407666,1906.22727272727,11.6409469666773,NaN,0.991060596679106,0.263979,NaN,NaN,1.5204193,0
sf_cb,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.025,fixed_theoretical_q,0,3,0.130281666666667,0.00239964850852044,0.130281666666667,0.00239964850852044,2004.33333333333,36.9176693618532,801.733333333333,14.7670677447413,NaN,0.984402530232968,0.226254166666667,NaN,NaN,0.7230679,0
sb_cf,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.00150633270753604,maximum_effective_payload_throughput,0,3,0.181662333333333,0.00287081825885545,0.181662333333333,0.00287081825885545,2795,44.393026479392,1143.40909090909,18.1607835597513,NaN,0.988830775842806,0.236281,NaN,NaN,130.6743474,0
sb_cb,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.003,maximum_effective_payload_throughput,0,3,0.163883166666667,0.0015032489082133,0.163883166666667,0.0015032489082133,2521.33333333333,23.2278147439181,1008.53333333333,9.29112589756722,NaN,0.984742756299355,0.0545731666666667,NaN,NaN,99.4180807,0
s7_clean,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.0106706799134702,maximum_effective_payload_throughput,0,3,0.288188333333333,0.000552066666666669,0.288188333333333,0.000552066666666669,4433.66666666667,8.49333333333333,1813.77272727273,3.47454545454551,NaN,0.991860675527802,0.0290934333333047,0,0,17.3981229,0
s7_busy,saturation_throughput,0.4,79.2,81,9,0.409090909090909,1.8,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.1259148,0.00125031313285806,0.1259148,0.00125031313285806,1937.33333333333,19.4798539807441,792.545454545455,7.96903117394074,NaN,0.978738153129283,0.120309533333209,2285,0.148504133333333,77.5786423,0
