protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_payload,15,7.5,2,380,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,303636,283112,0.932405907072943,4,27,0,1671,0.870967741935484,0,1671,36,31,0,0,27,0,NaN,NaN,1,0,NaN,0,0,69,0,0,2760,2755,0,5,0,0,2691,2686,5,0,1,1,105,105,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,5,3,570,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,252922,237734,0.939949865966583,0,4,0,905,1,0,905,6,4,0,0,4,0,NaN,NaN,1,0,NaN,0,0,43,0,0,1720,1720,0,0,0,0,1677,1677,0,0,1,1,55,55,0,0,NaN,20,20,20
sb_cb,fixed_payload,15,3.75,4,760,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,207936,196228,0.943694213604186,0,18,0,625,1,0,625,92,18,0,0,18,0,NaN,NaN,1,2,NaN,0,0,29,0,0,1160,1152,1,7,0,1,1131,1124,7,2,4,3,740,246.666666666667,0,0,NaN,60,60,60
sb_cb,fixed_payload,15,3,5,950,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,194612,183260,0.941668550757405,0,8,0,666,1,0,666,17,8,0,0,8,0,NaN,NaN,0,0,NaN,0,0,22,0,0,880,880,0,0,0,0,858,858,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,2.5,6,1140,0.025,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,165248,155544,0.941276142525174,0,0,0,463,NaN,0,463,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,16,0,0,640,640,0,0,0,0,624,624,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,30,30,1,190,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,877626,816387,0.930221985219216,152,1514,0,7216,0.908763505402161,0,7216,2343,1150,236,280,1514,0,NaN,NaN,76,20,NaN,25,54,305,10,0,12200,11863,19,318,0,10,11895,11568,327,28,146,126,18495,146.785714285714,10,3800,380,4420,4060,4420
sb_cb,fixed_payload,30,15,2,380,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,674480,635451,0.94213468153244,36,504,0,3839,0.933333333333333,0,3839,795,299,166,75,504,0,NaN,NaN,23,12,NaN,8,15,155,5,0,6200,6079,11,110,0,3,6045,5927,118,12,55,47,7465,158.829787234043,5,2850,570,2840,2655,2840
sb_cb,fixed_payload,30,10,3,570,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,548462,519604,0.947383774992616,32,173,0,2126,0.84390243902439,0,2126,243,138,55,12,173,0,NaN,NaN,7,2,NaN,1,2,94,1,0,3760,3721,1,38,0,1,3666,3628,38,2,12,10,1245,124.5,1,760,760,770,730,770
sb_cb,fixed_payload,30,7.5,4,760,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,508100,483196,0.950986026372761,36,116,0,1687,0.763157894736842,0,1687,186,113,31,8,116,0,NaN,NaN,1,3,NaN,0,0,69,1,0,2760,2752,1,7,0,0,2691,2683,8,3,5,4,740,185,1,950,950,840,780,840
sb_cb,fixed_payload,30,6,5,950,0.05,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,495368,473831,0.956523231213966,8,24,0,1544,0.75,0,1544,30,24,0,8,24,0,NaN,NaN,2,0,NaN,0,0,56,0,0,2240,2229,0,11,0,0,2184,2173,11,0,2,2,155,77.5,0,0,NaN,40,40,40
