protocol,max_stable_lambda,boundary_delay_us,boundary_best_q
sf_cb,90,53108.2844021176,0.0369862238859465
sb_cb,80,37022.7807482215,0.00249804953296681
unslotted,80,42752.6888762918,0.002
s7_clean,120,30560.9590305672,0.0116499305075071
s7_busy,80,53483.7416288423,0.028039657955522
sf_cf,50,59995.8688721505,0.0421716332650875
sb_cf,24,38110.8746222669,0.000559344471040698
