protocol,study_type,M,Tp_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cb,saturation_throughput,5,990,0.025,fixed_theoretical_q,0,3,0.650086666666667,0.00643569706721636,657,6.30051849718206,3285,31.5025924859103,NaN,0.944650289381447,0.09405,NaN,NaN,0.1844807,0
sb_cf,saturation_throughput,5,990,0.000115465892475565,maximum_payload_airtime,0,3,0.18777,0.0079480114645111,189.666666666667,8.02829440859708,948.333333333333,40.1414720429854,NaN,0.852392785712294,0.201962333333333,NaN,NaN,14.1131131,0
sb_cb,saturation_throughput,5,990,0.00146779926762207,maximum_payload_airtime,0,3,0.622834,0.00930652251685885,629.333333333333,9.42250733321256,3146.66666666667,47.1125366660628,NaN,0.931939879518768,0.076047,NaN,NaN,54.177833,0
s7_clean,saturation_throughput,5,990,0.009,maximum_payload_airtime,0,3,0.801334,0.00329004259546898,809.666666666667,3.26666666666667,4048.33333333333,16.3333333333333,NaN,0.957953132144861,0.010353,0,0,12.941516,0
s7_busy,saturation_throughput,5,990,0.0447213595499958,maximum_payload_airtime,0,3,0.459413333333333,0.0022430180778981,464.333333333333,2.35562683330314,2321.66666666667,11.7781341665157,NaN,0.900407994665822,0.108948,611.333333333333,0.604735666666667,36.6982617,0
sf_cf,saturation_throughput,6,1188,0.025,fixed_theoretical_q,0,3,0.370378666666667,0.0139183270217141,312,11.9222145593845,1872,71.5332873563071,NaN,0.914463103266161,0.252113333333333,NaN,NaN,0.0897175,0
sf_cb,saturation_throughput,6,1188,0.025,fixed_theoretical_q,0,3,0.693772,0.00661256131047567,584.333333333333,5.10269645492568,3506,30.6161787295541,NaN,0.954959930587311,0.083424,NaN,NaN,0.1610498,0
sb_cf,saturation_throughput,6,1188,7.40082804492285e-05,maximum_payload_airtime,0,3,0.182465333333333,0.0166324279367318,153.666666666667,14.1488531141024,922,84.8931186846143,NaN,0.813202276820642,0.123675,NaN,NaN,13.7393878,0
sb_cb,saturation_throughput,6,1188,0.001,maximum_payload_airtime,0,3,0.654097,0.00510234607168116,551,4.08006535895362,3306,24.4803921537217,NaN,0.925363722581466,0.053157,NaN,NaN,51.3471632,0
s7_clean,saturation_throughput,6,1188,0.0124902476648341,maximum_payload_airtime,0,3,0.827851,0.00090305391466955,697.666666666667,0.653333333333333,4186,3.92,NaN,0.946845610595329,0.0126,0,0,12.8753083,0
s7_busy,saturation_throughput,6,1188,0.0447213595499958,maximum_payload_airtime,0,3,0.510277666666667,0.0165861080178858,430,13.72,2580,82.32,NaN,0.908941926154787,0.098196,542,0.643513,33.4375817,0
sf_cf,saturation_throughput,8,1584,0.025,fixed_theoretical_q,0,3,0.361541333333333,0.0312516224703963,228.333333333333,19.8703575989742,1826.66666666667,158.962860791794,NaN,0.846509765036907,0.260165333333333,NaN,NaN,0.0735958,0
