protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
s7_busy,fixed_packet,45,45,5,812.5,0.421716332650875,0.421716332650875,self_stable,0.009,0.9,0,1,1,0,0,0,1,NaN,1,1797.33333333333,18.8095871778349,1727.66666666667,7.98538551144412,1727.66666666667,7.98538551144412,1727.66666666667,7.98538551144412,69.6666666666667,18.644828495581,0,0,0.961249058245709,0.00999969608752725,69.6666666666667,18.644828495581,44914.4880100961,2764.43396229854,27716.0610311872,2231.25842922491,17198.4269789091,534.81338482236,44914.4880100961,2764.43396229854,35027.6499999999,4167.60592836534,129264.933333333,6911.51245119982,177722.191666667,14336.2239484763,35027.6499999999,4167.60592836534,129264.933333333,6911.51245119982,177722.191666667,14336.2239484763,4.38957869276724,0.0400039779788924,13.2504232740656,2.39042972409429,4.65349390553838,0.781525108034544,16913.6771992903,532.310572809716,16.556283746514,5.96417995088857,15.9462251081057,0.146802015511447,162.5,0,0,0,1797.33333333333,18.8095871778349,1727.66666666667,7.98538551144412,1810.33333333333,24.8827449681701,8986.66666666667,94.0479358891743,1810.33333333333,24.8827449681701,NaN,NaN,0.294154833333333,0.0040083436341747,84.7515651666666,3.79124415902224,84.4574103333332,3.7912989388314,0.294154833333333,0.0040083436341747,-2.73223473223473,35.0566532590995,1,0,0.0844789328860896,0.0212530154590004,0.973762587674658,0.01318445494933,836,148.488279775776,343,124.430257127794,0.389718331590164,0.0703067565910086,120363.599999997,8889.72757945411,55491.4999999982,4534.68128883139,120363.599999997,8889.72757945411,27981.5999999697,3022.77051649056,61267.5999999336,6347.3895492272,1,0,1,0,1,0,0,0,17,0,86.3833333333333,0.399269275572203,162.0108124,0,0
sf_cb,fixed_packet,60,60,5,812.5,0.427965277573465,0.427965277573465,self_stable,0.003,0.524148278841779,0,1,1,0,0,0,1,NaN,1,2448,187.02109209629,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,73.6666666666667,32.4209316509691,0,0,0.969780551667002,0.0154452006500224,73.6666666666667,32.4209316509691,33628.7849318033,3186.35179347857,20779.6088172911,2114.71008890127,12849.1761145123,1073.22777542641,33628.7849318033,3186.35179347857,26520.6666666667,3773.38608766654,96167.4666666667,7924.22345850722,131150.765,15628.3134127115,26520.6666666667,3773.38608766654,96167.4666666667,7924.22345850722,131150.765,15628.3134127115,0,0,0,0,28.7515566094266,30.4949552341118,12605.4542418896,1071.41926413256,21.0600032508032,25.0522588204791,31.4103127624363,0.378419124442156,162.5,0,0,0,2448,187.02109209629,2374.33333333333,219.313393736827,2440.33333333333,226.946521556783,12240,935.105460481448,2440.33333333333,226.946521556783,NaN,NaN,0.396579166666667,0.0367456988562922,0,0,0,0,0.396579166666667,0.0367456988562922,0.776447534140604,4.84384524733456,1,0,3.59255114651099e+17,2.15999923348543e+15,0.981003790141225,0.00591469090503952,913.333333333333,369.663842058371,307.333333333333,361.331756391046,0.322894252389166,0.153794058701773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,23,2.48413771175033,118.716666666667,10.9656696868413,4.5155514,0,0
sb_cb,fixed_packet,60,60,5,812.5,0.026207413942089,0.0861773876012754,self_stable,0.0861773876012754,0.09,0,1,1,0,0,0,1,NaN,1,2448,187.02109209629,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,73.6666666666667,32.4209316509691,0,0,0.969780551667002,0.0154452006500224,73.6666666666667,32.4209316509691,33730.66749173,2824.39602062594,20540.1668293341,1800.54470488804,13190.5006623959,1023.85238979866,33730.66749173,2824.39602062594,26622.3333333333,3246.71247422887,96390.7166666667,7861.4038371517,131696.756666667,16716.0458405256,26622.3333333333,3246.71247422887,96390.7166666667,7861.4038371517,131696.756666667,16716.0458405256,0,0,13.8164578700136,3.72559530078099,0,0,12974.1817148189,1037.05457311595,8.59217694457711,10.7713748363074,31.4103127624363,0.378419124442156,162.5,0,0,0,2448,187.02109209629,2374.33333333333,219.313393736827,2449,220.697147170576,12240,935.105460481448,2449,220.697147170576,NaN,NaN,0.397981333333333,0.0356188207146126,85.919985,0.557520304095865,85.5136078333333,0.57238926762255,0.406377166666667,0.0479049371172829,6.48015848015847,7.68293246889053,1,0,0.0686491179250471,0.0112253611358146,0.981792301156876,0.00502780261296478,699.666666666667,134.907966941021,103.666666666667,108.347520438565,0.236545627286397,0.0437122921571198,1585.33333333333,1080.79999717947,NaN,NaN,1585.33333333333,1080.79999717947,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,23,2.48413771175033,118.716666666667,10.9656696868413,904.1944739,0,0
unslotted,fixed_packet,60,60,5,812.5,0.03,0.0625732474567597,self_stable,0.0625732474567597,0.0625732474567597,0,1,1,0,0,0,1,NaN,1,2448,187.02109209629,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,73.6666666666667,32.4209316509691,0,0,0.969780551667002,0.0154452006500224,73.6666666666667,32.4209316509691,33919.0103635776,3216.02437787762,20710.6664285334,2136.17063717073,13208.3439350443,1095.39076439145,33919.0103635776,3216.02437787762,26869.8056204146,3592.30788765237,96969.5925289873,9348.32396878451,131575.662579444,17148.2656347503,26869.8056204146,3592.30788765237,96969.5925289873,9348.32396878451,131575.662579444,17148.2656347503,0,0,0,0,125.744344897202,53.4603965505084,12867.7887031061,1088.70269448162,20.9005742785413,15.5283401659215,31.4103127624363,0.378419124442156,162.5,0,0,0,2448,187.02109209629,2374.33333333333,219.313393736827,2449,220.669184275668,12240,935.105460481448,2449,220.669184275668,NaN,NaN,0.398062155374842,0.035697941458691,86.3578906966847,1.23633501892103,85.9424952079765,1.26516035784755,0.415395488708175,0.0373949072315857,8.75602075602075,4.43293661512097,1,0,0.0682928777662824,0.010573388678367,0.981552815746227,0.0047815418416056,856.666666666667,130.537438277388,260,171.801067626505,0.30326493914581,0.0755052820538193,3625,2107.40069875859,NaN,NaN,3625,2107.40069875859,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,23,2.48413771175033,118.716666666667,10.9656696868413,163.8516085,0,0
s7_clean,fixed_packet,60,60,5,812.5,0.661825303382485,0.661825303382485,self_stable,0.0002,0.9,0,1,1,0,0,0,1,NaN,1,2448,187.02109209629,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,73.6666666666667,32.4209316509691,0,0,0.969780551667002,0.0154452006500224,73.6666666666667,32.4209316509691,32847.7575060868,3087.08850519485,20136.0495466692,2033.38495606461,12711.7079594178,1053.81697114222,32847.7575060868,3087.08850519485,25748.3166666666,3202.49410221394,95728.8333333333,7868.26864397324,130601.75,15266.3007108409,25748.3166666666,3202.49410221394,95728.8333333333,7868.26864397324,130601.75,15266.3007108409,4.36682883419029,0.029121592303944,8.71053551118844,1.40646315806967,1.18018739004162,0.189531180618309,12446.3047154388,1056.31866754325,5.24569224365917,3.39110736813201,16.1207389808442,0.194216338329079,162.5,0,0,0,2448,187.02109209629,2374.33333333333,219.313393736827,2452.33333333333,214.217571854337,12240,935.105460481448,2452.33333333333,214.217571854337,NaN,NaN,0.398585233333333,0.0349004041856455,83.7641914999999,1.27707178618196,83.3656062666666,1.30419411740007,0.398585233333333,0.0349004041856455,7.1103671103671,9.94562207614977,1,0,0.0697664812313847,0.011350744302172,0.981283881132179,0.00390835755227524,739,106.644468844112,149.666666666667,100.025751670012,0.256192220917307,0.0413665634726372,4378.8,2493.20512069226,2055.9,1061.22363045974,4378.8,2493.20512069226,1940.19999999786,1262.52816104387,4147.39999999552,2885.26527571517,1,0,1,0,1,0,0,0,23,2.48413771175033,118.716666666667,10.9656696868413,108.1960786,0,0
s7_busy,fixed_packet,60,60,5,812.5,0.524148278841779,0.524148278841779,self_stable,0.005,0.8,0,1,1,0,0,0,1,NaN,1,2448,187.02109209629,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,2374.33333333333,219.313393736827,73.6666666666667,32.4209316509691,0,0,0.969780551667002,0.0154452006500224,73.6666666666667,32.4209316509691,34108.0749919373,2842.77898861911,21194.1598283474,1828.6040944191,12913.9151635903,1014.47538827597,34108.0749919373,2842.77898861911,27001.0666666666,3490.78476414502,96814.7916666666,8226.97602454921,130998.8,15235.5068121598,27001.0666666666,3490.78476414502,96814.7916666666,8226.97602454921,130998.8,15235.5068121598,4.41551399987253,0.0376603382150301,18.2906603775544,2.51187792930166,4.44334028224601,0.816984957641575,12612.1204739265,1022.92569657377,28.745175004098,5.97019337993359,16.1207389808442,0.194216338329079,162.5,0,0,0,2448,187.02109209629,2374.33333333333,219.313393736827,2453.66666666667,221.873041903803,12240,935.105460481448,2453.66666666667,221.873041903803,NaN,NaN,0.398747233333333,0.0360715615381314,86.8331048333333,1.06192013858274,86.4343576,1.06734880035636,0.398747233333333,0.0360715615381314,5.4999254999255,3.76282372248044,1,0,0.0681213210144596,0.0118957283927811,0.981724369131077,0.00567814662486786,1568.66666666667,237.626091884203,820,246.956274893759,0.537960599339836,0.0738787626265193,140228.399999996,1559.73024936027,63056.4999999973,138.069571834863,140228.399999996,1559.73024936027,34095.8999999641,3872.58028251949,77536.7999999181,9365.66492434185,1,0,1,0,1,0,0,0,23,2.48413771175033,118.716666666667,10.9656696868413,470.766629,0,0
sf_cb,fixed_packet,80,80,5,812.5,0.251984209978975,0.251984209978975,self_stable,0.003,0.251984209978975,0,1,1,0,0,0,1,NaN,1,3220,66.2384968242672,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,73.6666666666667,12.2539603459267,0,0,0.977112754047277,0.00425487689333428,73.6666666666667,12.2539603459267,27283.6096154727,835.67703900776,17231.5983392019,477.910220569229,10052.0112762708,372.234480223173,27283.6096154727,835.67703900776,21622.3333333333,1122.72209761623,73319.55,4057.76504894452,102901.46,12872.1687467165,21622.3333333333,1122.72209761623,73319.55,4057.76504894452,102901.46,12872.1687467165,0,0,0,0,74.5850746838652,29.6363873577679,9757.55608377647,332.839549127279,25.7092274528852,10.0031214738558,31.6608903575672,0.438343769041898,162.5,0,0,0,3220,66.2384968242672,3146.33333333333,78.4111815388174,3225.66666666667,33.3590499089259,16100,331.192484121336,3225.66666666667,33.3590499089259,NaN,NaN,0.524154166666667,0.0054078454634891,0,0,0,0,0.524154166666667,0.0054078454634891,0.341053769588431,1.62763460707277,1,0,3.86573950741328e+17,4.20994180107596e+15,0.988586204164692,0.00147570432431066,1456.33333333333,312.471874517807,497.333333333333,182.923193135519,0.353046878833553,0.0642551338663819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,31,0,157.316666666667,3.92055907694088,10.4036318,0,0
sb_cb,fixed_packet,80,80,5,812.5,0.0135720880829745,0.027037093678005,self_stable,0.027037093678005,0.027037093678005,0,1,1,0,0,0,1,NaN,1,3220,66.2384968242672,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,73.6666666666667,12.2539603459267,0,0,0.977112754047277,0.00425487689333428,73.6666666666667,12.2539603459267,27988.5255612833,636.836234815458,17550.8309523773,872.300514500134,10437.694608906,287.783362249487,27988.5255612833,636.836234815458,22462.5833333333,473.440223951525,74641.325,4686.70101722078,103220.043333333,10816.29513929,22462.5833333333,473.440223951525,74641.325,4686.70101722078,103220.043333333,10816.29513929,0,0,28.1504183381864,5.83448228420107,0,0,10198.584154597,302.22502947923,16.7991456132457,11.3690639461378,31.6608903575672,0.438343769041898,162.5,0,0,0,3220,66.2384968242672,3146.33333333333,78.4111815388174,3233.33333333333,61.0680345459459,16100,331.192484121336,3233.33333333333,61.0680345459459,NaN,NaN,0.525402,0.00997139893892241,93.7666966666667,4.32226304518249,93.2174613333333,4.29248049000373,0.549235333333333,0.0297827489456918,-1.91563236955988,8.76325335602549,1,0,0.0607815285089538,0.0164369527120807,0.989791182569079,0.00336071357696313,1123,372.430157509058,259.333333333333,170.418606450415,0.277120592902931,0.0495591645457199,4611,4287.28759260554,NaN,NaN,4611,4287.28759260554,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,31,0,157.316666666667,3.92055907694088,1154.5286245,0,0
unslotted,fixed_packet,80,80,5,812.5,0.00761166261102025,0.0117446029235066,self_stable,0.0117446029235066,0.0117446029235066,0,1,1,0,0,0,1,NaN,1,3220,66.2384968242672,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,73.6666666666667,12.2539603459267,0,0,0.977112754047277,0.00425487689333428,73.6666666666667,12.2539603459267,29128.2443614056,2005.02362292013,18548.7553040173,1540.28423815352,10579.4890573883,464.842832705954,29128.2443614056,2005.02362292013,23637.1671667119,2663.45830545052,75976.0376896553,3641.76228445541,105254.544090287,6913.7390523343,23637.1671667119,2663.45830545052,75976.0376896553,3641.76228445541,105254.544090287,6913.7390523343,0,0,0,0,930.903139994605,306.056914430568,9440.9859343998,146.067282690436,13.4390926363416,12.9148092417412,31.6608903575672,0.438343769041898,162.5,0,0,0,3220,66.2384968242672,3146.33333333333,78.4111815388174,3228.33333333333,50.0128758350062,16100,331.192484121336,3228.33333333333,50.0128758350062,NaN,NaN,0.524650580986588,0.00805543581233116,97.2848315809501,4.45695894145509,96.7436601666302,4.44349401695378,0.541171414319921,0.0135716909568977,-2.78411078411079,51.3802441569625,1,0,0.0581019305852591,0.0149489175399633,0.988859702591254,0.00219505044224945,1049.66666666667,160.728381238699,237.666666666667,172.827681253344,0.270476819906265,0.0589877275326136,3707.16666666667,2100.72047198681,NaN,NaN,3707.16666666667,2100.72047198681,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,31,0,157.316666666667,3.92055907694088,119.08594,0,0
s7_clean,fixed_packet,80,80,5,812.5,0.421716332650875,0.421716332650875,self_stable,0.0005,0.9,0,1,1,0,0,0,1,NaN,1,3220,66.2384968242672,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,3146.33333333333,78.4111815388174,73.6666666666667,12.2539603459267,0,0,0.977112754047277,0.00425487689333428,73.6666666666667,12.2539603459267,25330.7731485319,495.646796767764,15541.7985625563,189.825832869834,9788.97458597582,350.502005062933,25330.7731485319,495.646796767764,19710.9833333333,822.093918364808,71277.475,4377.78459278234,99922.6016666665,11830.1541171867,19710.9833333333,822.093918364808,71277.475,4377.78459278234,99922.6016666665,11830.1541171867,4.40188209972041,0.017451559429783,8.24269108899195,0.45108017781322,3.15204554431794,0.334814679980564,9523.30847397844,349.633395715373,3.96949326437029,0.977827612169029,16.2493431127452,0.224971509772894,162.5,0,0,0,3220,66.2384968242672,3146.33333333333,78.4111815388174,3229.66666666667,50.6869617472589,16100,331.192484121336,3229.66666666667,50.6869617472589,NaN,NaN,0.524893533333333,0.0082655140062848,84.9783576666666,0.674136466813842,84.4534641333332,0.672689301764988,0.524893533333333,0.0082655140062848,4.45460845460845,22.9402118828871,1,0,0.0621631682773412,0.012942817064502,0.988898343519582,0.000711673637521654,964.666666666667,89.6472034288916,149.666666666667,33.9094655199968,0.242432090852704,0.01326706405333,5544.69999999999,1869.34010336569,2581,791.298312252939,5544.69999999999,1869.34010336569,2118.19999999788,579.48746098307,4521.19999999555,1646.62519967633,1,0,1,0,1,0,0,0,31,0,157.316666666667,3.92055907694088,69.7566559,0,0
