protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_source,cca_variant,cca_mode,rx_sens_dbm,n_eval_runs,stable_fraction,mean_delay_us,p95_delay_us,normalized_goodput_units_s,backlog_slope_pkt_s,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,harmful_missed_opportunities,false_alarm_opportunities,late_start_handshake,late_start_data,late_start_attempts,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,disabled,disabled,-62,1,0,NaN,NaN,480,1198.46338535414,965848,865901,0.896518913949193,0,57868,0,8788,1,0,57868,0,1213,6555,NaN,8242,8136,1495115,183.765363815143,37,49210,1330,111400,204900
sb_cb,fixed_packet,30,30,6,1140,0.025,fallback_1_over_N,oracle,oracle,-62,1,1,27273.0147058824,66786,4200,504.969987995198,772072,729978,0.945479178107741,19146,0,0,5398,0,0,0,0,81,146,NaN,270,267,42080,157.602996254682,0,0,NaN,4890,5340
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,directional,directional,-62,1,0,NaN,NaN,620,1055.07803121249,983375,765348,0.778287021736367,68266,284161,352,18403,0.806297474370579,0.0187683284457478,284161,352,NaN,NaN,2831,2872,NaN,NaN,NaN,NaN,NaN,NaN,131365,545870
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,directional_-52dBm,directional,-52,1,0,NaN,NaN,500,1156.0144057623,965449,934704,0.968154713506358,14050,374053,0,11730,0.963798270046869,0,374053,0,NaN,NaN,3712,3737,NaN,NaN,NaN,NaN,NaN,NaN,133640,710325
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,directional_-57dBm,directional,-57,1,0,NaN,NaN,520,1142.47298919568,974856,879740,0.902430717972706,35407,345535,0,12958,0.907054092224013,0,345535,0,NaN,NaN,3420,3444,NaN,NaN,NaN,NaN,NaN,NaN,133485,654655
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,directional_-67dBm,directional,-67,1,1,2183.67647058824,6472.49999999999,1300,-247.587034813926,199137,165719,0.83218588208118,1859,9357,58,10783,0.834254636233951,0.00535005995756849,9357,58,NaN,NaN,78,105,NaN,NaN,NaN,NaN,NaN,NaN,13620,19950
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,directional_-72dBm,directional,-72,1,1,1391.17647058824,4103.5,1320,3.36134453781511,144274,86320,0.598306001081276,2193,3345,112,9652,0.604008667388949,0.011470708725932,3345,112,NaN,NaN,31,44,NaN,NaN,NaN,NaN,NaN,NaN,6350,8360
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,disabled,disabled,-62,1,0,NaN,NaN,500,1156.0144057623,961123,687029,0.71481901900173,0,384618,0,10849,1,0,384618,0,NaN,NaN,3830,3855,NaN,NaN,NaN,NaN,NaN,NaN,133645,732745
sb_cf,fixed_packet,30,30,1,190,0.01,primary_tuned,oracle,oracle,-62,1,1,1055.51470588235,3198.5,1340,-0.576230492196901,106782,101787,0.953222453222453,3276,0,0,8991,0,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0
sb_cf,fixed_packet,30,30,3,570,0.025,fallback_1_over_N,directional,directional,-62,1,0,NaN,NaN,0,1198.46338535414,910251,255911,0.281143332992768,445437,128462,327,50,0.223840780346368,0.86737400530504,128462,327,NaN,NaN,2909,2897,NaN,NaN,NaN,NaN,NaN,NaN,154800,1655095
