protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,topology_seed,q_source
sf_cb,fixed_packet,30,30,6,1140,0.025,0,63,NaN,60,NaN,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46140.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36382.5,NaN,109075,NaN,143555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1260,NaN,520,NaN,7560,NaN,3120,NaN,NaN,NaN,0.5878,NaN,28.8589,NaN,28.2711,NaN,0.5878,NaN,528.499399759904,NaN,0.952380952380952,NaN,NaN,NaN,0.4225,NaN,110,NaN,37,NaN,1.61666666666667,NaN,3610,NaN,3610,NaN,7790,NaN,2090,NaN,4370,NaN,20260326,fallback_1_over_N
sb_cb,fixed_packet,30,30,6,1140,0.025,0,63,NaN,0,NaN,63,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1260,NaN,20,NaN,7560,NaN,120,NaN,NaN,NaN,0.0228,NaN,37.8726,NaN,37.485,NaN,0.3876,NaN,1109.81992797119,NaN,0,NaN,NaN,NaN,0.025,NaN,7880,NaN,0,NaN,NaN,NaN,204280,NaN,117280,NaN,204280,NaN,35350,NaN,54995,NaN,20260326,fallback_1_over_N
sf_cb,fixed_payload,5,5,1,190,0.05,1,13,NaN,13,NaN,0,NaN,0,NaN,3974.61538461538,NaN,0,NaN,3974.61538461538,NaN,3974.61538461538,NaN,2330,NaN,15388.5,NaN,16635,NaN,2330,NaN,15388.5,NaN,16635,NaN,101.538461538462,NaN,0,NaN,3317.69230769231,NaN,146.153846153846,NaN,29.2307692307692,NaN,190,NaN,190,NaN,0,NaN,260,NaN,240,NaN,260,NaN,240,NaN,NaN,NaN,0.0456,NaN,0.8952,NaN,0.8496,NaN,0.0456,NaN,61.656662665066,NaN,1,NaN,0.15437890974084,NaN,0.3,NaN,17,NaN,2,NaN,1.15384615384615,NaN,190,NaN,190,NaN,380,NaN,0,NaN,0,NaN,20260326,primary_tuned
sb_cb,fixed_payload,5,5,1,190,0.05,1,13,NaN,13,NaN,0,NaN,0,NaN,586.538461538462,NaN,0,NaN,586.538461538462,NaN,586.538461538462,NaN,505,NaN,1254,NaN,1320,NaN,505,NaN,1254,NaN,1320,NaN,0,NaN,18.4615384615385,NaN,95,NaN,67.6923076923077,NaN,25.3846153846154,NaN,190,NaN,190,NaN,0,NaN,260,NaN,260,NaN,260,NaN,260,NaN,NaN,NaN,0.0494,NaN,0.1525,NaN,0.1031,NaN,0.0494,NaN,8.06722689075631,NaN,1,NaN,0,NaN,0.325,NaN,18,NaN,3,NaN,1.23076923076923,NaN,60,NaN,60,NaN,60,NaN,60,NaN,60,NaN,20260326,primary_tuned
sf_cb,fixed_payload,5,1.66666666666667,3,570,0.05,1,5,NaN,5,NaN,0,NaN,0,NaN,2479,NaN,0,NaN,2479,NaN,2479,NaN,1570,NaN,6160,NaN,6160,NaN,1570,NaN,6160,NaN,6160,NaN,85,NaN,0,NaN,1520,NaN,114,NaN,0,NaN,190,NaN,570,NaN,0,NaN,100,NaN,100,NaN,300,NaN,300,NaN,NaN,NaN,0.05,NaN,0.2409,NaN,0.1909,NaN,0.05,NaN,41.1044417767107,NaN,1,NaN,0.029057700290577,NaN,0.125,NaN,6,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sb_cb,fixed_payload,5,1.66666666666667,3,570,0.025,1,5,NaN,5,NaN,0,NaN,0,NaN,963,NaN,0,NaN,963,NaN,963,NaN,845,NaN,1480,NaN,1480,NaN,845,NaN,1480,NaN,1480,NaN,0,NaN,15,NaN,66,NaN,122,NaN,0,NaN,190,NaN,570,NaN,0,NaN,100,NaN,80,NaN,300,NaN,240,NaN,NaN,NaN,0.0502,NaN,0.0895,NaN,0.0393,NaN,0.0502,NaN,10.8523409363746,NaN,1,NaN,0.0759776536312851,NaN,0.1,NaN,6,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,primary_tuned
sf_cb,fixed_payload,5,0.833333333333333,6,1140,0.025,1,3,NaN,3,NaN,0,NaN,0,NaN,10853.3333333333,NaN,0,NaN,10853.3333333333,NaN,10853.3333333333,NaN,3690,NaN,25295,NaN,25295,NaN,3690,NaN,25295,NaN,25295,NaN,466.666666666667,NaN,0,NaN,9056.66666666667,NaN,0,NaN,0,NaN,190,NaN,1140,NaN,0,NaN,60,NaN,60,NaN,360,NaN,360,NaN,NaN,NaN,0.0684,NaN,0.933,NaN,0.8646,NaN,0.0684,NaN,-35.7262905162065,NaN,1,NaN,0.302036441586281,NaN,0.075,NaN,4,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,fallback_1_over_N
sb_cb,fixed_payload,5,0.833333333333333,6,1140,0.025,1,3,NaN,3,NaN,0,NaN,0,NaN,1631.66666666667,NaN,0,NaN,1631.66666666667,NaN,1631.66666666667,NaN,1650,NaN,1895,NaN,1895,NaN,1650,NaN,1895,NaN,1895,NaN,0,NaN,15,NaN,286.666666666667,NaN,0,NaN,0,NaN,190,NaN,1140,NaN,0,NaN,60,NaN,40,NaN,360,NaN,240,NaN,NaN,NaN,0.0456,NaN,0.0736,NaN,0.028,NaN,0.0456,NaN,9.21968787515006,NaN,1,NaN,0.330163043478261,NaN,0.05,NaN,4,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,20260326,fallback_1_over_N
sf_cb,fixed_payload,30,30,1,190,0.05,1,63,NaN,63,NaN,0,NaN,0,NaN,7048.4126984127,NaN,1271.03174603175,NaN,5777.38095238095,NaN,7048.4126984127,NaN,5450,NaN,15817.75,NaN,22799.4,NaN,5450,NaN,15817.75,NaN,22799.4,NaN,107.539682539683,NaN,0,NaN,4198.09523809524,NaN,1052.53968253968,NaN,39.2063492063492,NaN,190,NaN,190,NaN,0,NaN,1260,NaN,1100,NaN,1260,NaN,1100,NaN,NaN,NaN,0.209,NaN,7.8402,NaN,7.6312,NaN,0.209,NaN,276.494597839136,NaN,1,NaN,0.132751715517461,NaN,0.536347517730496,NaN,80,NaN,13,NaN,1.20634920634921,NaN,1330,NaN,1330,NaN,2660,NaN,760,NaN,1520,NaN,20260326,primary_tuned
sb_cb,fixed_payload,30,30,1,190,0.05,0,63,NaN,37,NaN,26,NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5536.21621621622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,730,NaN,34661,NaN,61100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1260,NaN,660,NaN,1260,NaN,660,NaN,NaN,NaN,0.1254,NaN,9.2092,NaN,8.9751,NaN,0.2341,NaN,1086.67466986795,NaN,0.587301587301587,NaN,NaN,NaN,0.461440677966102,NaN,5530,NaN,272,NaN,8.35135135135135,NaN,123030,NaN,79530,NaN,123030,NaN,13655,NaN,18965,NaN,20260326,primary_tuned
