protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,5,5,4,760,0.025,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,58912,54456,0.924361759913091,0,0,0,281,NaN,0,281,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_packet,5,5,5,950,0.025,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,70768,65476,0.925220438616324,0,0,0,388,NaN,0,388,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_packet,5,5,6,1140,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,82624,76496,0.925832687838885,0,0,0,160,NaN,0,160,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,15,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,78786,72852,0.924682050110426,0,0,0,526,NaN,0,526,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,27,0,0,1080,1080,0,0,0,0,1053,1053,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,7.5,2,380,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,61600,56928,0.924155844155844,0,0,0,353,NaN,0,353,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,14,0,0,560,560,0,0,0,0,546,546,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,5,3,570,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,47056,43672,0.928085685141108,0,0,0,210,NaN,0,210,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,3.75,4,760,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,58912,54768,0.929657794676806,0,0,0,170,NaN,0,170,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,8,0,0,320,320,0,0,0,0,312,312,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,3,5,950,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,35384,32932,0.930703142663351,0,0,0,139,NaN,0,139,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,4,0,0,160,160,0,0,0,0,156,156,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,2.5,6,1140,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,20656,19936,0.965143299767622,0,0,0,11,NaN,0,11,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,2,0,0,80,80,0,0,0,0,78,78,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,30,30,1,190,0.05,1,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1011001,877523,0.867974413477336,16598,61719,395,16593,0.788066447897647,0.0232517070873558,16988,256147,54814,10391,13112,61719,395,NaN,NaN,4287,4236,NaN,3523,9511,357,115,0,14280,4379,847,9054,0,212,13923,4234,9689,5898,10188,9861,1806730,183.219754588784,115,43700,380,219070,108330,219070
