n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
68,68,0,1,831.482638764291,0,831.482638764291,1120.5,1.02941176470588,0,1,1,unslotted,1,3,594,0.25,1,297,1
79,79,0,1,849.155456136122,0,849.155456136122,792,1.0253164556962,0,1,1,unslotted,1,3,594,0.25,2,369,1
85,85,0,1,881.756780116453,7.41176470588235,874.345015410571,1199.25,1.07058823529412,0,1,1,unslotted,1,3,594,0.25,3,870.553228728939,1
83,83,0,1,822.573850387392,0,822.573850387392,792,1.02409638554217,0,1,1,unslotted,1,3,594,0.25,4,243,1
86,86,0,1,796.081395348837,0,796.081395348837,792,1,0,1,1,unslotted,1,3,594,0.25,5,0,1
68,68,0,1,1038.44117647059,0,1038.44117647059,1590.3,1,0,1,1,batch_clear,1,3,594,0.625,1,0,1
79,79,0,1,971.772151898734,0,971.772151898734,1399.05,1,0,1,1,batch_clear,1,3,594,0.625,2,0,1
85,85,0,1,1050.35294117647,9.63529411764706,1040.71764705882,1548,0.988235294117647,0,1,1,batch_clear,1,3,594,0.625,3,0,1.01086956521739
83,83,0,1,1025.02409638554,0,1025.02409638554,1639.35,1.07228915662651,0,1,1,batch_clear,1,3,594,0.625,4,594,1
86,86,0,1,1005.59302325581,0,1005.59302325581,1398.6,1,0,1,1,batch_clear,1,3,594,0.625,5,0,1
68,68,0,1,1204.41176470588,0,1204.41176470588,1736.1,1,0,1,1,baseline,1,4,792,0.7,1,0,1
79,79,0,1,1219.89873417722,0,1219.89873417722,1812.6,1,0,1,1,baseline,1,4,792,0.7,2,0,1
85,85,0,1,1208.75294117647,11.9647058823529,1196.78823529412,1833.75,1.04705882352941,0,1,1,baseline,1,4,792,0.7,3,396,1
83,83,0,1,1206.32530120482,0,1206.32530120482,1776.15,1.04819277108434,0,1,1,baseline,1,4,792,0.7,4,396,1
86,86,0,1,1185.17441860465,0,1185.17441860465,1571.4,1,0,1,1,baseline,1,4,792,0.7,5,0,1
68,68,0,1,1102.5,0,1102.5,1222.2,1,0,1,1,fast_first,1,4,792,0.5,1,0,1
79,79,0,1,1107.11392405063,0,1107.11392405063,1179,1,0,1,1,fast_first,1,4,792,0.5,2,0,1
85,85,0,1,1131.88235294118,11.9647058823529,1119.91764705882,1550.25,1.04705882352941,0,1,1,fast_first,1,4,792,0.5,3,396,1
83,83,0,1,1098.97590361446,0,1098.97590361446,1179,1.02409638554217,0,1,1,fast_first,1,4,792,0.5,4,198,1
86,86,0,1,1093.08139534884,0,1093.08139534884,1179,1,0,1,1,fast_first,1,4,792,0.5,5,0,1
68,68,0,1,1081.22826075256,0,1081.22826075256,1516.5,1.02941176470588,0,1,1,unslotted,1,4,792,0.25,1,297,1
79,79,0,1,1045.29089660456,0,1045.29089660456,1168.85525429159,1.0253164556962,0,1,1,unslotted,1,4,792,0.25,2,369,1
85,85,0,1,1166.06170265821,9.74117647058823,1156.32052618763,1595.25,1.10588235294118,0,1,1,unslotted,1,4,792,0.25,3,1356.81448395876,1
83,83,0,1,1083.33930672732,0,1083.33930672732,990,1.02409638554217,0,1,1,unslotted,1,4,792,0.25,4,243,1
86,86,0,1,997.639534883721,0,997.639534883721,990,1,0,1,1,unslotted,1,4,792,0.25,5,0,1
68,68,0,1,1184.02941176471,0,1184.02941176471,1728,1,0,1,1,batch_clear,1,4,792,0.7,1,0,1
79,79,0,1,1199.84810126582,0,1199.84810126582,1610.55,1.0253164556962,0,1,1,batch_clear,1,4,792,0.7,2,198,1
85,85,0,1,1206.42352941176,14.2941176470588,1192.12941176471,1867.5,1.01176470588235,0,1,1,batch_clear,1,4,792,0.7,3,198,1.01086956521739
83,83,0,1,1182.46987951807,0,1182.46987951807,1629.9,1.07228915662651,0,1,1,batch_clear,1,4,792,0.7,4,594,1
86,86,0,1,1182.87209302326,0,1182.87209302326,1468.8,1,0,1,1,batch_clear,1,4,792,0.7,5,0,1
68,68,0,1,1428.61764705882,0,1428.61764705882,2132.1,1.02941176470588,0,1,1,baseline,1,5,990,0.625,1,198,1
79,79,0,1,1455.49367088608,0,1455.49367088608,1906.65,1.05063291139241,0,1,1,baseline,1,5,990,0.625,2,396,1
85,85,0,1,1492.94117647059,16.6235294117647,1476.31764705882,2270.25,1,0,1,1,baseline,1,5,990,0.625,3,0,1
83,83,0,1,1440.10843373494,0,1440.10843373494,2092.05,1.07228915662651,0,1,1,baseline,1,5,990,0.625,4,594,1
86,86,0,1,1396.98837209302,0,1396.98837209302,1695.6,1,0,1,1,baseline,1,5,990,0.625,5,0,1
68,68,0,1,1312.14705882353,0,1312.14705882353,1472.4,1,0,1,1,fast_first,1,5,990,0.5,1,0,1
79,79,0,1,1310.12658227848,0,1310.12658227848,1377,1,0,1,1,fast_first,1,5,990,0.5,2,0,1
85,85,0,1,1355.50588235294,14.2941176470588,1341.21176470588,2128.5,1.07058823529412,0,1,1,fast_first,1,5,990,0.5,3,594,1
83,83,0,1,1301.74698795181,0,1301.74698795181,1377,1.02409638554217,0,1,1,fast_first,1,5,990,0.5,4,198,1
86,86,0,1,1295.68604651163,0,1295.68604651163,1377,1,0,1,1,fast_first,1,5,990,0.5,5,0,1
68,68,0,1,1269.38378267012,0,1269.38378267012,1912.5,1.02941176470588,0,1,1,unslotted,1,5,990,0.25,1,297,1
79,79,0,1,1261.25765119304,0,1261.25765119304,1565.1989803634,1.0253164556962,0,1,1,unslotted,1,5,990,0.25,2,369,1
85,85,0,1,1322.53145045914,35.2849991952514,1287.24645126389,2175.35507483743,1.04705882352941,0,1,1,unslotted,1,5,990,0.25,3,594,1
83,83,0,1,1284.36286781204,0,1284.36286781204,1433.7,1.08433734939759,0,1,1,unslotted,1,5,990,0.25,4,1032.7940466876,1
86,86,0,1,1200.24418604651,0,1200.24418604651,1188,1,0,1,1,unslotted,1,5,990,0.25,5,0,1
68,68,0,1,1460.64705882353,0,1460.64705882353,2144.7,1.02941176470588,0,1,1,batch_clear,1,5,990,0.625,1,198,1
79,79,0,1,1427.92405063291,0,1427.92405063291,1886.85,1,0,1,1,batch_clear,1,5,990,0.625,2,0,1
85,85,0,1,1520.89411764706,16.6235294117647,1504.27058823529,2335.5,1.05882352941176,0,1,1,batch_clear,1,5,990,0.625,3,594,1.01086956521739
83,83,0,1,1373.31325301205,0,1373.31325301205,1710.9,1,0,1,1,batch_clear,1,5,990,0.625,4,0,1
86,86,0,1,1417.70930232558,0,1417.70930232558,1922.4,1,0,1,1,batch_clear,1,5,990,0.625,5,0,1
68,68,0,1,1641.17647058824,0,1641.17647058824,2617.2,1,0,1,1,baseline,1,6,1188,0.625,1,0,1
79,79,0,1,1663.51898734177,0,1663.51898734177,2258.1,1,0,1,1,baseline,1,6,1188,0.625,2,0,1
85,85,0,1,1679.29411764706,29.8588235294118,1649.43529411765,2565,1,0,1,1,baseline,1,6,1188,0.625,3,0,1
83,83,0,1,1628.56626506024,0,1628.56626506024,2199.15,1,0,1,1,baseline,1,6,1188,0.625,4,0,1
86,86,0,1,1613.40697674419,0,1613.40697674419,2142,1,0,1,1,baseline,1,6,1188,0.625,5,0,1
68,68,0,1,1521.79411764706,0,1521.79411764706,1868.4,1,0,1,1,fast_first,1,6,1188,0.5,1,0,1
79,79,0,1,1513.13924050633,0,1513.13924050633,1575,1,0,1,1,fast_first,1,6,1188,0.5,2,0,1
85,85,0,1,1579.12941176471,18.2117647058824,1560.91764705882,2524.5,1.04705882352941,0,1,1,fast_first,1,6,1188,0.5,3,396,1
83,83,0,1,1511.67469879518,0,1511.67469879518,1608.3,1.02409638554217,0,1,1,fast_first,1,6,1188,0.5,4,198,1
