protocol,load_mode,lambda_base,selected_q,run,stable,mean_delay_us,queue_delay_us,access_delay_us,boundary_wait_us,difs_wait_us,probability_wait_us,busy_nav_wait_us,collision_delay_us,control_delay_us,data_delay_us,mean_attempts,arrival_rate,goodput_rate,final_backlog,backlog_slope,little_relative_error
sf_cb,fixed_packet,5,0.5,1,1,677.054054054054,0,677.054054054054,94.7297297297297,0,187.945945945946,14.3783783783784,0,190,190,1,185,186,0,-0.0257520257520258,0.00207146556188489
sf_cb,fixed_packet,5,0.5,2,1,716.626794258373,0,716.626794258373,97.5358851674641,0,205.454545454545,11.8181818181818,21.8181818181818,190,190,1.11483253588517,209,209,0,-0.0856920856920857,0
sb_cf,fixed_packet,5,0.01,1,1,798,0,798,0,16.2972972972973,573.108108108108,2.16216216216216,16.4324324324324,0,190,1.08648648648649,185,185,0,0.0771120771120771,1.88007692309347e-16
sb_cf,fixed_packet,5,0.01,2,1,755.143540669856,0,755.143540669856,0,16.7224880382775,523.947368421053,2.6555023923445,21.8181818181818,0,190,1.11483253588517,209,209,0,0.108408108408108,0
sf_cb,fixed_packet,10,0.5,1,1,736.401617250674,9.6900269541779,726.711590296496,102.425876010782,0,191.024258760108,23.5579514824798,29.7035040431267,190,190,1.15633423180593,371,371,0,-0.0454680454680454,0
sf_cb,fixed_packet,10,0.5,2,1,816.144736842105,0.184210526315789,815.960526315789,98.4605263157895,0,259,35.5,43,190,190,1.22631578947368,380,380,0,0.00765600765600787,0
sb_cf,fixed_packet,10,0.01,1,1,854.137466307278,6.38814016172507,847.749326145553,0,17.8301886792453,600.377358490566,3.69272237196766,35.8490566037736,0,190,1.18867924528302,371,371,0,-0.0732840732840732,0
sb_cf,fixed_packet,10,0.01,2,1,877.552631578947,4.30263157894737,873.25,0,20.0131578947368,597.736842105263,2,63.5,0,190,1.33421052631579,380,380,0,0.611352611352612,0
sf_cb,fixed_packet,15,0.2,1,1,1588.47790507365,35.0081833060556,1553.46972176759,107.479541734861,0,881.276595744681,143.66612111293,41.0474631751228,190,190,1.21603927986907,611,611,0,0.142776142776143,0
sf_cb,fixed_packet,15,0.2,2,1,1610.77181208054,24.8406040268456,1585.93120805369,104.823825503356,0,910.151006711409,146.006711409396,44.9496644295302,190,190,1.23657718120805,596,596,0,1.41624141624142,0
sb_cf,fixed_packet,15,0.005,1,1,1717.34042553191,57.3649754500818,1659.97545008183,0,21.2602291325696,1356.2356792144,13.1833060556465,79.2962356792144,0,190,1.41734860883797,611,612,0,-0.0718680718680719,2.38249533032476e-05
sb_cf,fixed_packet,15,0.005,2,1,1625.39429530201,28.9093959731544,1596.48489932886,0,19.5302013422819,1317.88590604027,11.6862416107383,57.3825503355705,0,190,1.30201342281879,596,596,0,0.49035649035649,1.14605441593951e-16
sf_cb,fixed_payload,5,0.5,1,1,686.693989071038,0,686.693989071038,104.234972677596,0,194.153005464481,6.22950819672131,2.07650273224044,190,190,1.01092896174863,183,183,0,-0.0278640278640278,0
sf_cb,fixed_payload,5,0.5,2,1,685.185185185185,0,685.185185185185,102.87037037037,0,189.12037037037,13.1944444444444,0,190,190,1,216,216,0,-0.0340920340920342,0
sb_cf,fixed_payload,5,0.01,1,1,808.934426229508,0,808.934426229508,0,16.3114754098361,582.732240437158,3.27868852459016,16.6120218579235,0,190,1.08743169398907,183,183,0,0.0376920376920377,0
sb_cf,fixed_payload,5,0.01,2,1,806.643518518518,2.61574074074074,804.027777777778,0,17.8472222222222,557.175925925926,2.93981481481481,36.0648148148148,0,190,1.18981481481481,216,216,0,0.134160134160134,0
sf_cb,fixed_payload,10,0.2,1,1,1431.16368286445,13.2608695652174,1417.90281329923,109.769820971867,0,845.524296675192,65.6010230179028,17.0076726342711,190,190,1.08951406649616,391,391,0,-0.151692151692152,0
sf_cb,fixed_payload,10,0.2,2,1,1454.36,22.3866666666667,1431.97333333333,101.466666666667,0,839.04,83.6,27.8666666666667,190,190,1.14666666666667,375,375,0,-1.03790503790504,0
sb_cf,fixed_payload,10,0.01,1,1,855.473145780051,3.46547314578005,852.007672634271,0,17.2634271099744,614.731457800512,1.34271099744246,28.6700767263427,0,190,1.15089514066496,391,391,0,0.0817440817440815,0
sb_cf,fixed_payload,10,0.01,2,1,1009.45333333333,6.89333333333333,1002.56,0,20.48,715.346666666667,7.32,69.4133333333333,0,190,1.36533333333333,375,375,0,-0.412452412452413,1.46643467041588e-16
sf_cb,fixed_payload,15,0.2,1,1,1640.2508361204,34.2725752508361,1605.97826086957,112.984949832776,0,912.190635451505,153.14381270903,47.6588628762542,190,190,1.25083612040134,598,598,0,-0.341892341892342,1.13187580884843e-16
sf_cb,fixed_payload,15,0.2,2,1,1556.15136876006,13.2367149758454,1542.91465378422,109.806763285024,0,882.07729468599,132.785829307568,38.2447665056361,190,190,1.20128824476651,621,622,0,0.499440499440499,0.000268975719768835
sb_cf,fixed_payload,15,0.005,1,1,1821.97324414716,51.9397993311037,1770.03344481605,0,21.2458193979933,1468.27759197324,11.3963210702341,79.1137123745819,0,190,1.41638795986622,598,596,0,0.0588720588720585,0.00086809143896488
sb_cf,fixed_payload,15,0.005,2,1,1562.83413848631,24.9436392914654,1537.89049919485,0,19.5169082125604,1260.22544283414,10.9339774557166,57.2141706924316,0,190,1.30112721417069,621,621,0,-1.08098508098508,1.14394656949383e-16
