n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
248,248,0,1,905.153225806452,0,905.153225806452,1301.4,1.04435483870968,0,1,1,sb_cb,3,3,594,0.325,3,162,1
238,238,0,1,893.042016806723,3.40336134453782,889.638655462185,1288.8,1.01680672268908,0,1,1,sb_cb,3,3,594,0.325,4,72,1
218,218,0,1,913.087155963303,0,913.087155963303,1490.4,1.04587155963303,0,1,1,sb_cb,3,3,594,0.325,5,198,1
233,233,0,1,1147.21030042918,0,1147.21030042918,1791.9,1.06437768240343,0,1,1,sb_cb,3,4,792,0.25,1,3573,1
255,255,0,1,1123.37647058824,3.95294117647059,1119.42352941176,1640.25,1.03137254901961,0,1,1,sb_cb,3,4,792,0.25,2,171,1
248,248,0,1,1130.00806451613,0,1130.00806451613,1702.8,1.06048387096774,0,1,1,sb_cb,3,4,792,0.25,3,216,1
238,238,0,1,1171.17226890756,7.52521008403361,1163.64705882353,1911.6,1.10504201680672,0,1,1,sb_cb,3,4,792,0.25,4,1836,1
218,218,0,1,1178.79357798165,0,1178.79357798165,1969.2,1.08715596330275,0,1,1,sb_cb,3,4,792,0.25,5,315,1
233,233,0,1,1404.4635193133,0,1404.4635193133,2326.95,1.10300429184549,0,1,1,sb_cb,3,5,990,0.25,1,1395,1
255,255,0,1,1373.85882352941,4.76470588235294,1369.09411764706,2126.25,1.08235294117647,0,1,1,sb_cb,3,5,990,0.25,2,1242,1
248,248,0,1,1355.11693548387,0.181451612903226,1354.93548387097,2079.9,1.06048387096774,0,1,1,sb_cb,3,5,990,0.25,3,1314,1
238,238,0,1,1387.81512605042,11.5336134453782,1376.28151260504,2230.2,1.06302521008403,0,1,1,sb_cb,3,5,990,0.25,4,1197,1
218,218,0,1,1388.80733944954,0,1388.80733944954,2359.8,1.08715596330275,0,1,1,sb_cb,3,5,990,0.25,5,306,1
233,233,0,1,1666.31330472103,0,1666.31330472103,2712.6,1.08154506437768,0,1,1,sb_cb,3,6,1188,0.125,1,378,1
255,255,0,1,1639.23529411765,5.89411764705882,1633.34117647059,2542.5,1.07058823529412,0,1,1,sb_cb,3,6,1188,0.125,2,2547,1
248,248,0,1,1649.90322580645,1.01612903225806,1648.88709677419,2682.9,1.03225806451613,0,1,1,sb_cb,3,6,1188,0.125,3,117,1
238,238,0,1,1704.44117647059,16.7521008403361,1687.68907563025,2800.8,1.13445378151261,0,1,1,sb_cb,3,6,1188,0.125,4,5148,1
218,218,0,1,1691.54587155963,0,1691.54587155963,2770.2,1.08256880733945,0,1,1,sb_cb,3,6,1188,0.125,5,1386,1
453,453,0,1,481.112582781457,0,481.112582781457,693,1.04635761589404,0,1,1,sb_cb,5,1,198,0.35,1,738,1
386,386,0,1,480.147668393782,0,480.147668393782,649.8,1.07512953367876,0,1,1,sb_cb,5,1,198,0.35,2,594,1
360,360,0,1,473.725,0.95,472.775,706.5,1.05555555555556,0,1,1,sb_cb,5,1,198,0.35,3,486,1
436,436,0,1,479.97247706422,0.639908256880734,479.332568807339,717.3,1.04816513761468,0,1,1,sb_cb,5,1,198,0.35,4,720,1
399,399,0,1,499.827067669173,0.0676691729323308,499.759398496241,675,1.11779448621554,0,1,1,sb_cb,5,1,198,0.35,5,1170,1
453,453,0,1,711.059602649007,0,711.059602649007,1105.65,1.04415011037528,0,1,1,sb_cb,5,2,396,0.275,1,1629,1
386,386,0,1,713.564766839378,0.116580310880829,713.448186528497,1098,1.07772020725389,0,1,1,sb_cb,5,2,396,0.275,2,1179,1
360,360,0,1,702.725,1.975,700.75,1129.5,1.04722222222222,0,1,1,sb_cb,5,2,396,0.275,3,279,1
436,436,0,1,722.311926605505,1.09403669724771,721.217889908257,1165.5,1.06880733944954,0,1,1,sb_cb,5,2,396,0.275,4,1602,1
399,399,0,1,721.759398496241,0.676691729323308,721.082706766917,1170.9,1.09022556390977,0,1,1,sb_cb,5,2,396,0.275,5,1629,1
453,453,0,1,933.198675496689,0,933.198675496689,1510.65,1.05518763796909,0,1,1,sb_cb,5,3,594,0.4,1,1233,1
386,386,0,1,929.145077720207,1.18911917098446,927.955958549223,1463.4,1.07512953367876,0,1,1,sb_cb,5,3,594,0.4,2,441,1
360,360,0,1,952.225,3.525,948.7,1588.5,1.14444444444444,0,1,1,sb_cb,5,3,594,0.4,3,1854,1
436,436,0,1,1002.88073394495,2.53899082568807,1000.34174311927,1659.6,1.22018348623853,0,1,1,sb_cb,5,3,594,0.4,4,4545,1
399,399,0,1,1002.60902255639,1.06015037593985,1001.54887218045,1634.85,1.24812030075188,0,1,1,sb_cb,5,3,594,0.4,5,4185,1
453,453,0,1,1236.29801324503,0,1236.29801324503,1980,1.08830022075055,0,1,1,sb_cb,5,4,792,0.225,1,1413,1
386,386,0,1,1218.98704663212,0.72279792746114,1218.26424870466,1945.8,1.10880829015544,0,1,1,sb_cb,5,4,792,0.225,2,2034,1
360,360,0,1,1266.775,5.625,1261.15,2214,1.24166666666667,0,1,1,sb_cb,5,4,792,0.225,3,6498,1
436,436,0,1,1287.86697247706,4.62385321100917,1283.24311926606,2080.8,1.20642201834862,0,1,1,sb_cb,5,4,792,0.225,4,5769,1
399,399,0,1,1299.36090225564,1.62406015037594,1297.73684210526,2274.29999999999,1.20300751879699,0,1,1,sb_cb,5,4,792,0.225,5,3465,1
453,453,0,1,1630.88741721854,5.24503311258278,1625.64238410596,3008.25,1.28256070640177,0,1,1,sb_cb,5,5,990,0.225,1,10287,1
386,386,0,1,1518.69170984456,4.61658031088083,1514.07512953368,2568.6,1.2020725388601,0,1,1,sb_cb,5,5,990,0.225,2,3879,1
360,360,0,1,1452.35,9.975,1442.375,2394,1.11388888888889,0,1,1,sb_cb,5,5,990,0.225,3,1656,1
436,436,0,1,1566.57798165138,9.14449541284404,1557.43348623853,2830.5,1.19266055045872,0,1,1,sb_cb,5,5,990,0.225,4,4014,1
399,399,0,1,1580.23308270677,2.52631578947368,1577.70676691729,3103.19999999999,1.23057644110276,0,1,1,sb_cb,5,5,990,0.225,5,2304,1
453,453,0,1,1948.29139072848,1.2317880794702,1947.05960264901,4137.75,1.41501103752759,0,1,1,sb_cb,5,6,1188,0.325,1,14904,1
386,386,0,1,1768.82642487047,10.9352331606218,1757.89119170984,3119.4,1.21243523316062,0,1,1,sb_cb,5,6,1188,0.325,2,3375,1
360,360,0,1,1803.05,13.2,1789.85,3132,1.29722222222222,0,1,1,sb_cb,5,6,1188,0.325,3,9738,1
436,436,0,1,1912.70642201835,8.5045871559633,1904.20183486239,4031.1,1.40366972477064,0,1,1,sb_cb,5,6,1188,0.325,4,12420,1
399,399,0,1,2199.22556390977,5.09774436090226,2194.12781954887,5879.7,1.8796992481203,0,1,1,sb_cb,5,6,1188,0.325,5,15759,1
