condition_tag,phase,q,grid_stable_fraction,mean_delay_us,mean_goodput_pkt_s,mean_backlog_slope_pkt_s,rate_screen_rejected_fraction,run_index,run_stable,n_arrived,n_departures_window,n_censored,final_backlog,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,backlog_slope_pkt_s,completion_ratio,tuning_rate_screen_rejected,failure_reason
s7_busy_fixed_packet_lam10_M2,coarse,0.01,1,100423.339534884,411,5.23066123066123,0,1,1,430,411,0,0,430,411,0.0441860465116279,5.23066123066123,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,0.025,1,29565.5023255814,433,-9.6006456006456,0,1,1,430,433,0,0,430,433,0.00697674418604651,-9.6006456006456,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,0.05,1,12737.2186046512,435,-3.94343194343194,0,1,1,430,435,0,0,430,435,0.0116279069767442,-3.94343194343194,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,0.1,1,6850.02558139535,434,-1.67348567348567,0,1,1,430,434,0,0,430,434,0.00930232558139535,-1.67348567348567,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,0.2,1,4086.92093023256,433,1.24490524490525,0,1,1,430,433,0,0,430,433,0.00697674418604651,1.24490524490525,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,0.5,1,2635.30465116279,432,-0.330840330840331,0,1,1,430,432,0,0,430,432,0.00465116279069767,-0.330840330840331,1,0,stable
s7_busy_fixed_packet_lam10_M2,coarse,1,0,NaN,2,427.093699093699,1,1,0,430,2,428,510,430,2,0.995348837209302,427.093699093699,0.00465116279069767,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M2,refined,0.2,1,4152.76879058667,422,2.23009423009423,0,1,1,430,433,0,0,430,433,0.00697674418604651,1.24490524490525,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.2,1,4152.76879058667,422,2.23009423009423,0,2,1,419,417,0,0,419,417,0.00477326968973747,4.43473643473644,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.2,1,4152.76879058667,422,2.23009423009423,0,3,1,418,416,0,0,418,416,0.00478468899521531,1.01064101064101,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.4,1,2932.94337416045,421.333333333333,1.03857703857704,0,1,1,430,431,0,0,430,431,0.00232558139534884,-0.0447120447120446,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.4,1,2932.94337416045,421.333333333333,1.03857703857704,0,2,1,419,417,0,0,419,417,0.00477326968973747,2.994266994267,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.4,1,2932.94337416045,421.333333333333,1.03857703857704,0,3,1,418,416,0,0,418,416,0.00478468899521531,0.166176166176166,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.5,1,2638.53299268394,421.333333333333,1.2024852024852,0,1,1,430,432,0,0,430,432,0.00465116279069767,-0.330840330840331,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.5,1,2638.53299268394,421.333333333333,1.2024852024852,0,2,1,419,417,0,0,419,417,0.00477326968973747,3.12905112905113,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.5,1,2638.53299268394,421.333333333333,1.2024852024852,0,3,1,418,415,0,0,418,415,0.00717703349282297,0.809244809244809,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.6,1,3001.92656141077,422,0.731280731280732,0,1,1,430,432,0,0,430,432,0.00465116279069767,1.12198912198912,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.6,1,3001.92656141077,422,0.731280731280732,0,2,1,419,417,0,0,419,417,0.00477326968973747,1.95621795621796,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.6,1,3001.92656141077,422,0.731280731280732,0,3,1,418,417,0,0,418,417,0.00239234449760766,-0.884364884364885,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.8,0.333333333333333,5006.70644391408,253.666666666667,203.693083693084,0.666666666666667,1,0,430,344,91,91,430,344,0.2,160.553392553393,0.788372093023256,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M2,refined,0.8,0.333333333333333,5006.70644391408,253.666666666667,203.693083693084,0.666666666666667,2,1,419,417,0,0,419,417,0.00477326968973747,0.857412857412858,1,0,stable
s7_busy_fixed_packet_lam10_M2,refined,0.8,0.333333333333333,5006.70644391408,253.666666666667,203.693083693084,0.666666666666667,3,0,418,0,418,463,418,0,1,449.668445668446,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M2,refined,1,0,NaN,2,440.080652080652,1,1,0,430,2,428,510,430,2,0.995348837209302,427.093699093699,0.00465116279069767,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M2,refined,1,0,NaN,2,440.080652080652,1,2,0,419,2,417,498,419,2,0.995226730310263,443.479811479812,0.00477326968973747,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M2,refined,1,0,NaN,2,440.080652080652,1,3,0,418,2,416,498,418,2,0.995215311004785,449.668445668446,0.00478468899521531,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M3,coarse,0.005,0,NaN,300,134.564858564859,1,1,0,430,300,189,191,430,300,0.302325581395349,134.564858564859,0.56046511627907,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M3,coarse,0.01,0,NaN,388,46.1723381723382,1,1,0,430,388,82,82,430,388,0.0976744186046512,46.1723381723382,0.809302325581395,1,rate+censor+slope
s7_busy_fixed_packet_lam10_M3,coarse,0.025,1,46730.0930232558,427,-3.9041679041679,0,1,1,430,427,0,0,430,427,0.00697674418604651,-3.9041679041679,1,0,stable
s7_busy_fixed_packet_lam10_M3,coarse,0.05,1,21134.0511627907,434,-14.5837585837586,0,1,1,430,434,0,0,430,434,0.00930232558139535,-14.5837585837586,1,0,stable
s7_busy_fixed_packet_lam10_M3,coarse,0.1,1,10887.9697674419,432,-1.40720540720541,0,1,1,430,432,0,0,430,432,0.00465116279069767,-1.40720540720541,1,0,stable
s7_busy_fixed_packet_lam10_M3,coarse,0.2,1,6159.28604651163,433,-0.303504303504303,0,1,1,430,433,0,0,430,433,0.00697674418604651,-0.303504303504303,1,0,stable
s7_busy_fixed_packet_lam10_M3,coarse,0.5,1,4401.31395348837,432,0.981552981552982,0,1,1,430,432,0,0,430,432,0.00465116279069767,0.981552981552982,1,0,stable
s7_busy_fixed_packet_lam10_M3,coarse,1,0,NaN,0,427.093699093699,1,1,0,430,0,430,524,430,0,1,427.093699093699,0,1,empty+rate+censor+slope
s7_busy_fixed_packet_lam10_M3,refined,0.2,1,5656.07034055821,422.333333333333,0.210016210016211,0,1,1,430,433,0,0,430,433,0.00697674418604651,-0.303504303504303,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.2,1,5656.07034055821,422.333333333333,0.210016210016211,0,2,1,419,419,0,0,419,419,0,1.92258192258192,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.2,1,5656.07034055821,422.333333333333,0.210016210016211,0,3,1,418,415,0,0,418,415,0.00717703349282297,-0.989028989028989,1,0,stable
s7_busy_fixed_packet_lam10_M3,refined,0.4,1,4546.35441668196,423,-1.38398938398939,0,1,1,430,432,0,0,430,432,0.00465116279069767,-9.58085758085758,1,0,stable
