n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
238,238,0,1,856.852941176471,2.76050420168067,854.09243697479,1206,1.03361344537815,0,1,1,unslotted,3,3,594,0.0075,4,108,1
218,218,0,1,877.417431192661,0,877.417431192661,1276.2,1.03669724770642,0,1,1,unslotted,3,3,594,0.0075,5,126,1
233,233,0,1,1098.50214592275,0,1098.50214592275,1600.65,1.03004291845494,0,1,1,unslotted,3,4,792,0.01,1,108,1
255,255,0,1,1067.89411764706,3.81176470588235,1064.08235294118,1550.25,1.02745098039216,0,1,1,unslotted,3,4,792,0.01,2,135,1
248,248,0,1,1070.0564516129,0,1070.0564516129,1611,1.03225806451613,0,1,1,unslotted,3,4,792,0.01,3,108,1
238,238,0,1,1094.33193277311,7.44957983193277,1086.88235294118,1722.6,1.02521008403361,0,1,1,unslotted,3,4,792,0.01,4,72,1
218,218,0,1,1150.14220183486,0,1150.14220183486,1782,1.03669724770642,0,1,1,unslotted,3,4,792,0.01,5,918,1
233,233,0,1,1304.88412017167,0,1304.88412017167,1998,1.02145922746781,0,1,1,unslotted,3,5,990,0.0075,1,1116,1
255,255,0,1,1320.49411764706,4.58823529411765,1315.90588235294,1968.75,1.04705882352941,0,1,1,unslotted,3,5,990,0.0075,2,1143,1
248,248,0,1,1333.3064516129,0,1333.3064516129,2061.9,1.04032258064516,0,1,1,unslotted,3,5,990,0.0075,3,126,1
238,238,0,1,1395.86974789916,15.0882352941176,1380.78151260504,2125.8,1.0546218487395,0,1,1,unslotted,3,5,990,0.0075,4,144,1
218,218,0,1,1416.09633027523,0,1416.09633027523,2331,1.06422018348624,0,1,1,unslotted,3,5,990,0.0075,5,3150,1
233,233,0,1,1665.65665236051,0,1665.65665236051,2587.95,1.03862660944206,0,1,1,unslotted,3,6,1188,0.005,1,162,1
255,255,0,1,1533.35294117647,5.36470588235294,1527.98823529412,2364.75,1.03137254901961,0,1,1,unslotted,3,6,1188,0.005,2,135,1
248,248,0,1,1613.21370967742,0.689516129032258,1612.52419354839,2480.4,1.04032258064516,0,1,1,unslotted,3,6,1188,0.005,3,117,1
238,238,0,1,1672.52521008403,22.1974789915966,1650.32773109244,3038.4,1.05882352941176,0,1,1,unslotted,3,6,1188,0.005,4,162,1
218,218,0,1,1796.20183486239,0,1796.20183486239,4237.2,1.06880733944954,0,1,1,unslotted,3,6,1188,0.005,5,2556,1
453,453,0,1,428.225165562914,0,428.225165562914,592.65,1.02649006622517,0,1,1,unslotted,5,1,198,0.02,1,270,1
386,386,0,1,425.471502590674,0,425.471502590674,520.2,1.03626943005181,0,1,1,unslotted,5,1,198,0.02,2,189,1
360,360,0,1,435.675,0.85,434.825,589.5,1.03888888888889,0,1,1,unslotted,5,1,198,0.02,3,216,1
436,436,0,1,445.272935779817,0.557339449541284,444.715596330275,633.6,1.04587155963303,0,1,1,unslotted,5,1,198,0.02,4,495,1
399,399,0,1,442.421052631579,0,442.421052631579,576,1.05263157894737,0,1,1,unslotted,5,1,198,0.02,5,495,1
453,453,0,1,643.033112582781,0,643.033112582781,990,1.03311258278146,0,1,1,unslotted,5,2,396,0.02,1,684,1
386,386,0,1,657.839378238342,0,657.839378238342,990,1.03886010362694,0,1,1,unslotted,5,2,396,0.02,2,198,1
360,360,0,1,653.1,1.475,651.625,985.5,1.04166666666667,0,1,1,unslotted,5,2,396,0.02,3,198,1
436,436,0,1,686.910550458716,1.01146788990826,685.899082568807,1109.7,1.06192660550459,0,1,1,unslotted,5,2,396,0.02,4,1125,1
399,399,0,1,668.413533834586,0.473684210526316,667.93984962406,1043.55,1.06766917293233,0,1,1,unslotted,5,2,396,0.02,5,1161,1
453,453,0,1,900.139072847682,0,900.139072847682,1404,1.05077262693157,0,1,1,unslotted,5,3,594,0.02,1,1008,1
386,386,0,1,893.658031088083,1.88860103626943,891.769430051814,1558.8,1.05440414507772,0,1,1,unslotted,5,3,594,0.02,2,234,1
360,360,0,1,908.55,3.125,905.425,1485,1.07222222222222,0,1,1,unslotted,5,3,594,0.02,3,1503,1
436,436,0,1,905.366972477064,2.12614678899083,903.240825688073,1443.6,1.05275229357798,0,1,1,unslotted,5,3,594,0.02,4,909,1
399,399,0,1,962.323308270677,0.969924812030075,961.353383458647,1878.29999999999,1.1077694235589,0,1,1,unslotted,5,3,594,0.02,5,2871,1
453,453,0,1,1168.88741721854,0,1168.88741721854,1825.65,1.06622516556291,0,1,1,unslotted,5,4,792,0.02,1,2790,1
386,386,0,1,1169.83678756477,2.5880829015544,1167.24870466321,1917,1.07512953367876,0,1,1,unslotted,5,4,792,0.02,2,360,1
360,360,0,1,1161.9,5.05,1156.85,1890,1.07222222222222,0,1,1,unslotted,5,4,792,0.02,3,1872,1
436,436,0,1,1184.71788990826,3.94266055045872,1180.7752293578,2149.2,1.07798165137615,0,1,1,unslotted,5,4,792,0.02,4,1251,1
399,399,0,1,1218.9022556391,1.46616541353383,1217.43609022556,2188.8,1.1077694235589,0,1,1,unslotted,5,4,792,0.02,5,3663,1
453,453,0,1,1536.09933774834,0.178807947019868,1535.92052980132,2904.3,1.12141280353201,0,1,1,unslotted,5,5,990,0.015,1,3654,1
386,386,0,1,1472.43264248705,4.80310880829016,1467.62953367876,2413.8,1.11139896373057,0,1,1,unslotted,5,5,990,0.015,2,1503,1
360,360,0,1,1455.125,7.9,1447.225,2506.5,1.08888888888889,0,1,1,unslotted,5,5,990,0.015,3,1368,1
436,436,0,1,1502.75229357798,6.19266055045872,1496.55963302752,3024.9,1.11467889908257,0,1,1,unslotted,5,5,990,0.015,4,3564,1
399,399,0,1,1579.69172932331,2.2781954887218,1577.41353383459,3680.09999999999,1.16040100250627,0,1,1,unslotted,5,5,990,0.015,5,6552,1
453,453,0,1,1882.4701986755,1.05298013245033,1881.41721854305,4225.94999999999,1.1523178807947,0,1,1,unslotted,5,6,1188,0.015,1,7902,1
386,386,0,1,1775.72797927461,13.8031088082902,1761.92487046632,3848.4,1.1139896373057,0,1,1,unslotted,5,6,1188,0.015,2,1647,1
360,360,0,1,1706.2,12,1694.2,2799,1.08055555555556,0,1,1,unslotted,5,6,1188,0.015,3,1548,1
436,436,0,1,1847.25,24.9564220183486,1822.29357798165,4736.7,1.14449541284404,0,1,1,unslotted,5,6,1188,0.015,4,3087,1
399,399,0,1,1855.71428571429,3.81203007518797,1851.9022556391,4189.95,1.17042606516291,0,1,1,unslotted,5,6,1188,0.015,5,5589,1
