protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sf_cf,fixed_packet,5,5,1,198,0.9,0.9,self_stable_validated,0.05,0.9,1,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,268.257142857143,NaN,0,NaN,268.257142857143,NaN,268.257142857143,NaN,251.5,NaN,441.875,NaN,445.5,NaN,251.5,NaN,441.875,NaN,445.5,NaN,77.9,NaN,0,NaN,27.8571428571429,NaN,0,NaN,0,NaN,0,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.046945,NaN,0.0185075,NaN,0.0284375,NaN,-0.178504462611566,NaN,1,NaN,1.47809008497332e-16,NaN,0.457089552238806,NaN,45,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,0.7019179,0
sf_cb,fixed_packet,5,5,1,198,0.9,0.9,self_stable_validated,0.05,0.9,1,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,421.471428571429,NaN,0,NaN,421.471428571429,NaN,421.471428571429,NaN,410.5,NaN,600.5,NaN,623.5,NaN,410.5,NaN,600.5,NaN,623.5,NaN,77.9,NaN,0,NaN,18.5714285714286,NaN,0,NaN,0,NaN,162.5,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.0737575,NaN,0.04532,NaN,0.0284375,NaN,-0.229505737643441,NaN,1,NaN,1.88154259672772e-16,NaN,0.457089552238806,NaN,45,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,0.3702042,0
sb_cf,fixed_packet,5,5,1,198,NaN,0.1,validation_failed,0.01,0.1,0,1,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1994895,0
sb_cb,fixed_packet,5,5,1,198,0.5,0.5,self_stable_validated,0.01,0.9,0,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,372.057142857143,NaN,0,NaN,372.057142857143,NaN,372.057142857143,NaN,370,NaN,397,NaN,424,NaN,370,NaN,397,NaN,424,NaN,0,NaN,34,NaN,0,NaN,13.0571428571429,NaN,0,NaN,162.5,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.06511,NaN,0.0366725,NaN,0.0284375,NaN,-0.114726199827112,NaN,1,NaN,2.13143723050445e-16,NaN,0.457089552238806,NaN,45,NaN,0,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,1.5828601,0
s7_clean,fixed_packet,5,5,1,198,0.9,0.9,self_stable_validated,0.01,0.9,1,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,282.414285714299,NaN,0,NaN,282.414285714299,NaN,282.414285714299,NaN,281.900000000023,NaN,288.650000000023,NaN,290.900000000023,NaN,281.900000000023,NaN,288.650000000023,NaN,290.900000000023,NaN,0,NaN,34,NaN,0.514285714285714,NaN,2.00000000001333,NaN,0,NaN,83.4,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.0494225000000023,NaN,0.0209850000000023,NaN,0.0284375,NaN,-0.147003675091877,NaN,1,NaN,1.40399492213201e-16,NaN,0.457089552238806,NaN,45,NaN,0,NaN,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,3.5600647,0
s7_busy,fixed_packet,5,5,1,198,0.7,0.7,self_stable_validated,0.1,0.9,0,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,611.042857142871,NaN,0,NaN,611.042857142871,NaN,611.042857142871,NaN,488.899999999994,NaN,1337.14999999999,NaN,1388.90000000002,NaN,488.899999999994,NaN,1337.14999999999,NaN,1388.90000000002,NaN,0,NaN,48.5714285714286,NaN,4.62857142857143,NaN,276.200000000014,NaN,35.7428571428571,NaN,83.4,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.106932500000002,NaN,0.0784950000000023,NaN,0.0284375,NaN,-0.0765019125478143,NaN,1,NaN,2.59561645109095e-16,NaN,0.457089552238806,NaN,65,NaN,15,NaN,1.42857142857143,NaN,11748,NaN,5446.79999999998,NaN,11748,NaN,4405.50000000095,NaN,9505.20000000202,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,20.639844,0
unslotted,fixed_packet,5,5,1,198,0.9,0.9,self_stable_validated,0.01,0.9,1,1,NaN,NaN,2,1,1,1,1,35,NaN,35,NaN,0,NaN,0,NaN,328.465026159118,NaN,0,NaN,328.465026159118,NaN,328.465026159118,NaN,327.267419745534,NaN,336.603225330122,NaN,339.99790687862,NaN,327.267419745534,NaN,336.603225330122,NaN,339.99790687862,NaN,0,NaN,0,NaN,3.46502615911706,NaN,5.52193211790706e-13,NaN,0,NaN,162.5,NaN,162.5,NaN,0,NaN,175,NaN,175,NaN,175,NaN,175,NaN,NaN,NaN,0.0284375,NaN,0.0574813795778456,NaN,0.0290438795778456,NaN,0.0284375,NaN,-0.114718292264527,NaN,1,NaN,1.20715507436805e-16,NaN,0.457089552238806,NaN,45,NaN,0,NaN,1,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,0,NaN,8.75,NaN,0.7227613,0
