M,run,q,seed,stable,arrival_rate_pkt_s,goodput_pkt_s,completion_ratio,final_backlog,backlog_slope_pkt_s,mean_delay_us,p50_delay_us,p95_delay_us,p99_delay_us,mean_queue_delay_us,mean_access_delay_us,mean_difs_wait_us,mean_probability_wait_us,mean_busy_nav_wait_us,mean_collision_delay_us,mean_control_delay_us,mean_data_delay_us,little_relative_error,mean_attempts_completed,collision_channel_time_us_measure,cca_raw_miss_rate,cca_eligible_fnr,cca_eligible_fpr,harmful_missed_opportunities,false_alarm_opportunities,rts_attempts,rts_simultaneous_attempts,rts_simultaneous_events,rts_capture_success,rts_fail_total,rts_fail_ap_busy_start,rts_fail_ap_became_busy,rts_fail_sinr,rts_response_timeouts,late_start_handshake,late_start_data,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_timing,nav_expected,nav_set,nav_fail,nav_protected_violations,data_attempts,data_success,data_fail,data_fail_sinr,data_fail_cts,data_collision_events,data_partial_collision_events,data_full_collision_events,data_collision_us,data_late_rts_interference_ticks,rts_wasted_us,reservation_waste_us
3,1,0.2,4771929,1,371,371,1,0,-0.56008856008856,1149.50134770889,805,2414.25,7066.70000000003,54.5283018867925,1094.9730458221,20.9838274932615,28.8814016172507,212.830188679245,72.277628032345,190,570,0,1.3989218328841,6385,0.941259475858609,0.944029850746269,0,506,0,624,75,37,487,137,87,19,30,88,44,43,19480,19241,13,226,0,18993,18768,225,44,473,463,24,10,14,10,10,0,570,150,2740,13680
3,2,0.2,4771930,1,380,380,1,0,1.66808566808567,2205.67105263158,805,9482.5,28762,139.394736842105,2066.27631578947,55.6184210526316,70.5394736842105,662.263157894737,517.855263157895,190,570,1.32460347385049e-16,3.70789473684211,36040,0.940501048654403,0.978978978978979,0.000796336850487756,2608,4,1498,631,267,526,972,655,51,262,729,217,438,21040,20076,72,892,0,20514,19572,942,488,504,457,69,47,22,47,47,0,3915,994,19440,39330
4,1,0.1,4781929,1,371,371,1,0,-0.190656190656191,1492.87061994609,1045,3554.5,8166.70000000003,41.4150943396226,1451.45552560647,21.9137466307278,63.4905660377358,313.382749326146,102.66846361186,190,760,0,1.46091644204852,12510,0.943917945712131,0.901109057301294,0,975,0,640,78,39,481,159,118,17,23,107,45,73,19240,18995,18,227,0,18759,18518,241,74,477,463,18,14,4,14,14,0,1000,263,3180,13680
4,2,0.1,4781930,1,380,354,1,0,28.9127929127929,43509.8815789474,1090,540317.5,743218.5,9265.03947368421,34244.8421052632,1429.14473684211,4322.59210526316,9981.1447368421,17561.9605263158,190,760,7.26658816941407,95.2763157894737,75875,0.923030093386491,0.812881367503862,0.00347090748453868,95251,110,36314,29220,12659,1265,35049,31789,578,2660,33240,6740,25049,50600,29900,1413,19287,0,49335,29154,20181,27898,746,457,808,289,519,289,289,0,70775,20658,700980,614080
5,1,0.01,4791929,1,371,370,1,0,1.39069339069339,2811.61725067385,2095,7504.5,10008.45,73.6388140161725,2737.97843665768,18.0323450134771,594.528301886792,936.455525606469,48.9622641509434,190,950,0.00220018831306076,1.20215633423181,7685,0.945366930560083,0.89931906614786,8.18866688503112e-05,5547,4,557,14,7,478,79,69,3,7,54,46,23,19120,18871,18,231,0,18642,18400,242,23,471,463,15,8,7,8,8,0,200,71,1580,14250
5,2,0.01,4791930,1,380,380,1,0,3.95784395784396,3616.11842105263,2340,10032.5,24783.5,93.0394736842105,3523.07894736842,21.2368421052632,756.789473684211,1503.69736842105,101.355263157895,190,950,0,1.41578947368421,16120,0.945668939463523,0.895913097676075,0,10062,0,628,36,18,484,144,123,3,18,100,75,48,19360,18991,23,346,0,18876,18518,358,54,473,457,27,16,11,16,16,0,620,169,2880,25650
