protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,stability_class,arrival_rate_pkt_s,goodput_pkt_s,rate_relative_error,rate_threshold,rate_check_status,little_relative_error,little_threshold,little_check_status,n_aloha_probability_tests,aloha_ci95_coverage_fraction,aloha_ci95_all_inside,aloha_probability_check_status,aloha_controlled_file_status,aloha_controlled_available,aloha_controlled_K,aloha_controlled_q,aloha_controlled_trials,aloha_controlled_probability_pass,aloha_controlled_service_relative_error,aloha_controlled_preregistered_parameters_valid,aloha_controlled_probability_status,aloha_controlled_service_status,aloha_controlled_hard_gate_status,overall_status
unslotted,fixed_packet,5,5,2,396,0.7,1,stable,192,191.666666666667,0.00173611111110938,0.05,pass,0.000497148404996058,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,3,594,0.005,0.333333333333333,mixed,192,91,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,5,5,3,594,0.75,0.666666666666667,mixed,192,131.666666666667,NaN,0.05,not_applicable,NaN,0.05,not_applicable,31,1,1,diagnostic_only,missing,0,NaN,NaN,NaN,NaN,NaN,0,not_applicable,not_applicable,not_applicable,not_applicable
sf_cf,fixed_packet,5,5,3,594,0.6,1,stable,192,191.333333333333,0.00347222222222395,0.05,pass,0.00533927496747501,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
unslotted,fixed_packet,5,5,3,594,0.4,0.666666666666667,mixed,192,133.333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sb_cf,fixed_packet,5,5,4,792,0.001,1,stable,192,189.666666666667,0.0121527777777761,0.05,pass,0.0255445848574074,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sf_cb,fixed_packet,5,5,4,792,0.7,0.666666666666667,mixed,192,153,NaN,0.05,not_applicable,NaN,0.05,not_applicable,32,1,1,diagnostic_only,missing,0,NaN,NaN,NaN,NaN,NaN,0,not_applicable,not_applicable,not_applicable,not_applicable
sf_cf,fixed_packet,5,5,4,792,0.45,0.666666666666667,mixed,192,153.333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
unslotted,fixed_packet,5,5,4,792,0.8,1,stable,192,192,0,0.05,pass,0.000438103795273864,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,5,990,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,5,5,5,990,0.7,0.333333333333333,mixed,192,94.3333333333333,NaN,0.05,not_applicable,NaN,0.05,not_applicable,37,1,1,diagnostic_only,missing,0,NaN,NaN,NaN,NaN,NaN,0,not_applicable,not_applicable,not_applicable,not_applicable
sf_cf,fixed_packet,5,5,5,990,0.45,0.666666666666667,mixed,192,153.666666666667,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
unslotted,fixed_packet,5,5,5,990,0.35,1,stable,192,192,0,0.05,pass,0.000363282168421546,0.05,pass,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,pass
sb_cf,fixed_packet,5,5,6,1188,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
sf_cb,fixed_packet,5,5,6,1188,0.85,0.333333333333333,mixed,192,91.6666666666667,NaN,0.05,not_applicable,NaN,0.05,not_applicable,40,1,1,diagnostic_only,missing,0,NaN,NaN,NaN,NaN,NaN,0,not_applicable,not_applicable,not_applicable,not_applicable
sf_cf,fixed_packet,5,5,6,1188,NaN,0,unstable,NaN,NaN,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
unslotted,fixed_packet,5,5,6,1188,0.4,0.666666666666667,mixed,192,156,NaN,0.05,not_applicable,NaN,0.05,not_applicable,0,NaN,NaN,not_applicable,not_applicable,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_applicable,not_applicable,not_applicable,not_applicable
