protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95
sf_cf,fixed_packet,30,30,1,190,0.5,1,23,NaN,23,NaN,0,NaN,0,NaN,496.739130434783,NaN,4.56521739130435,NaN,492.173913043478,NaN,496.739130434783,NaN,470,NaN,1112.5,NaN,1340,NaN,470,NaN,1112.5,NaN,1340,NaN,62.6086956521739,NaN,0,NaN,223.04347826087,NaN,0,NaN,16.5217391304348,NaN,0,NaN,190,NaN,0,NaN,1150,NaN,1100,NaN,1150,NaN,1100,NaN,NaN,NaN,0.209,NaN,0.53575,NaN,0.30775,NaN,0.228,NaN,18.1818181818181,NaN,1,NaN,0.0662622491833877,NaN,0.355882352941176,NaN,25,NaN,2,NaN,1.08695652173913,NaN,190,NaN
sb_cb,fixed_packet,30,30,1,190,0.1,1,23,NaN,23,NaN,0,NaN,0,NaN,495.434782608696,NaN,0,NaN,495.434782608696,NaN,495.434782608696,NaN,430,NaN,798.5,NaN,805,NaN,430,NaN,798.5,NaN,805,NaN,0,NaN,16.304347826087,NaN,42.8260869565217,NaN,54.5652173913044,NaN,1.73913043478261,NaN,190,NaN,190,NaN,0,NaN,1150,NaN,1100,NaN,1150,NaN,1100,NaN,NaN,NaN,0.2105,NaN,0.56175,NaN,0.35125,NaN,0.2105,NaN,-78.7878787878788,NaN,1,NaN,0.0142412105028928,NaN,0.355882352941176,NaN,25,NaN,2,NaN,1.08695652173913,NaN,40,NaN
