protocol,theory,exp_access,exp_total,err_us,err_pct,stable,seeds_1,seeds_2,seeds_3
sf_cf,243.75,239.885764375877,239.885764375877,-3.86423562412341,-1.58532743553781,0.666666666666667,246.352173913043,NaN,233.41935483871
sf_cb,406.25,403.04100631136,403.04100631136,-3.20899368863957,-0.789906138742047,0.666666666666667,408.852173913043,NaN,397.229838709677
sb_cf,201,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
sb_cb,363.5,365.983337507514,365.983337507514,2.48333750751357,0.683174004818038,1,361.15652173913,366.866071428571,369.927419354839
unslotted,325,328.632200460829,328.632200460829,3.63220046082944,1.11760014179367,1,325,328.598214285714,332.298387096774
s7_clean,284.4,283.109677419302,283.109677419302,-1.29032258069827,-0.453699922889688,1,281.899999999943,284.149999999946,283.279032258015
s7_busy,284.4,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN
