n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
86,86,0,1,1083.87209302326,0,1083.87209302326,1603.8,1,0,1,1,baseline,1,3,594,0.55,5,0,1
68,68,0,1,1053,0,1053,1675.8,1,0,1,1,batch_clear,1,3,594,0.6,1,0,1
79,79,0,1,986.810126582278,0,986.810126582278,1431.45,1,0,1,1,batch_clear,1,3,594,0.6,2,0,1
85,85,0,1,1066.65882352941,9.63529411764706,1057.02352941176,1611,0.988235294117647,0,1,1,batch_clear,1,3,594,0.6,3,0,1.01086956521739
83,83,0,1,1029.79518072289,0,1029.79518072289,1639.35,1.04819277108434,0,1,1,batch_clear,1,3,594,0.6,4,396,1
86,86,0,1,1017.10465116279,0,1017.10465116279,1414.8,1,0,1,1,batch_clear,1,3,594,0.6,5,0,1
68,68,0,1,895.764705882353,0,895.764705882353,1004.4,1,0,1,1,fast_first,1,3,594,0.5,1,0,1
79,79,0,1,904.101265822785,0,904.101265822785,981,1,0,1,1,fast_first,1,3,594,0.5,2,0,1
85,85,0,1,940.870588235294,9.63529411764706,931.235294117647,1336.5,1.09411764705882,0,1,1,fast_first,1,3,594,0.5,3,792,1
83,83,0,1,903.361445783133,0,903.361445783133,981,1.02409638554217,0,1,1,fast_first,1,3,594,0.5,4,198,1
86,86,0,1,892.779069767442,0,892.779069767442,981,1,0,1,1,fast_first,1,3,594,0.5,5,0,1
68,68,0,1,812.382352941176,0,812.382352941176,824.399999999998,1,0,1,1,unslotted,1,3,594,0.005,1,0,1
79,79,0,1,806.354430379747,0,806.354430379747,792,1,0,1,1,unslotted,1,3,594,0.005,2,0,1
85,85,0,1,883.270588235294,7.41176470588235,875.858823529412,915.75,1.02352941176471,0,1,1,unslotted,1,3,594,0.005,3,36,1
83,83,0,1,829.734939759036,0,829.734939759036,792,1.01204819277108,0,1,1,unslotted,1,3,594,0.005,4,18,1
86,86,0,1,796.081395348837,0,796.081395348837,792,1,0,1,1,unslotted,1,3,594,0.005,5,0,1
68,68,0,1,1239.35294117647,0,1239.35294117647,1865.7,1,0,1,1,baseline,1,4,792,0.6,1,0,1
79,79,0,1,1262.50632911392,0,1262.50632911392,1972.35,1,0,1,1,baseline,1,4,792,0.6,2,0,1
85,85,0,1,1262.32941176471,11.9647058823529,1250.36470588235,1905.75,1.04705882352941,0,1,1,baseline,1,4,792,0.6,3,396,1
83,83,0,1,1254.03614457831,0,1254.03614457831,1821.6,1,0,1,1,baseline,1,4,792,0.6,4,0,1
86,86,0,1,1219.70930232558,0,1219.70930232558,1618.2,1,0,1,1,baseline,1,4,792,0.6,5,0,1
68,68,0,1,1309.23529411765,0,1309.23529411765,1899.9,1.05882352941176,0,1,1,batch_clear,1,4,792,0.55,1,396,1
79,79,0,1,1262.50632911392,0,1262.50632911392,1734.75,1,0,1,1,batch_clear,1,4,792,0.55,2,0,1
85,85,0,1,1255.34117647059,16.6235294117647,1238.71764705882,1863,0.988235294117647,0,1,1,batch_clear,1,4,792,0.55,3,0,1.01086956521739
83,83,0,1,1227.79518072289,0,1227.79518072289,1773.9,1.02409638554217,0,1,1,batch_clear,1,4,792,0.55,4,198,1
86,86,0,1,1247.33720930233,0,1247.33720930233,1742.4,1,0,1,1,batch_clear,1,4,792,0.55,5,0,1
68,68,0,1,1102.5,0,1102.5,1222.2,1,0,1,1,fast_first,1,4,792,0.5,1,0,1
79,79,0,1,1107.11392405063,0,1107.11392405063,1179,1,0,1,1,fast_first,1,4,792,0.5,2,0,1
85,85,0,1,1131.88235294118,11.9647058823529,1119.91764705882,1550.25,1.04705882352941,0,1,1,fast_first,1,4,792,0.5,3,396,1
83,83,0,1,1098.97590361446,0,1098.97590361446,1179,1.02409638554217,0,1,1,fast_first,1,4,792,0.5,4,198,1
86,86,0,1,1093.08139534884,0,1093.08139534884,1179,1,0,1,1,fast_first,1,4,792,0.5,5,0,1
68,68,0,1,1019.11764705882,0,1019.11764705882,1042.2,1,0,1,1,unslotted,1,4,792,0.005,1,0,1
79,79,0,1,1009.36708860759,0,1009.36708860759,990,1,0,1,1,unslotted,1,4,792,0.005,2,0,1
85,85,0,1,1124.36470588235,11.3294117647059,1113.03529411765,1595.25,1.04705882352941,0,1,1,unslotted,1,4,792,0.005,3,828,1
83,83,0,1,1024.26506024096,0,1024.26506024096,990,1.01204819277108,0,1,1,unslotted,1,4,792,0.005,4,18,1
86,86,0,1,997.639534883721,0,997.639534883721,990,1,0,1,1,unslotted,1,4,792,0.005,5,0,1
68,68,0,1,1486.85294117647,0,1486.85294117647,2286,1.02941176470588,0,1,1,baseline,1,5,990,0.55,1,198,1
79,79,0,1,1468.0253164557,0,1468.0253164557,2191.5,1,0,1,1,baseline,1,5,990,0.55,2,0,1
85,85,0,1,1574.47058823529,16.6235294117647,1557.84705882353,2344.5,1.04705882352941,0,1,1,baseline,1,5,990,0.55,3,396,1
83,83,0,1,1471.12048192771,0,1471.12048192771,2130.75,1.04819277108434,0,1,1,baseline,1,5,990,0.55,4,396,1
86,86,0,1,1440.73255813953,0,1440.73255813953,2070,1,0,1,1,baseline,1,5,990,0.55,5,0,1
68,68,0,1,1460.64705882353,0,1460.64705882353,2245.5,1,0,1,1,batch_clear,1,5,990,0.6,1,0,1
79,79,0,1,1430.43037974684,0,1430.43037974684,2002.5,1,0,1,1,batch_clear,1,5,990,0.6,2,0,1
85,85,0,1,1511.57647058824,22.8705882352941,1488.70588235294,2315.25,0.988235294117647,0,1,1,batch_clear,1,5,990,0.6,3,0,1.01086956521739
83,83,0,1,1385.24096385542,0,1385.24096385542,1776.15,1,0,1,1,batch_clear,1,5,990,0.6,4,0,1
86,86,0,1,1447.63953488372,0,1447.63953488372,1886.4,1,0,1,1,batch_clear,1,5,990,0.6,5,0,1
68,68,0,1,1312.14705882353,0,1312.14705882353,1472.4,1,0,1,1,fast_first,1,5,990,0.5,1,0,1
79,79,0,1,1310.12658227848,0,1310.12658227848,1377,1,0,1,1,fast_first,1,5,990,0.5,2,0,1
85,85,0,1,1355.50588235294,14.2941176470588,1341.21176470588,2128.5,1.07058823529412,0,1,1,fast_first,1,5,990,0.5,3,594,1
83,83,0,1,1301.74698795181,0,1301.74698795181,1377,1.02409638554217,0,1,1,fast_first,1,5,990,0.5,4,198,1
86,86,0,1,1295.68604651163,0,1295.68604651163,1377,1,0,1,1,fast_first,1,5,990,0.5,5,0,1
68,68,0,1,1227.83823529412,0,1227.83823529412,1381.5,1,0,1,1,unslotted,1,5,990,0.005,1,0,1
79,79,0,1,1212.37974683544,0,1212.37974683544,1188,1,0,1,1,unslotted,1,5,990,0.005,2,0,1
85,85,0,1,1324.90588235294,13.5529411764706,1311.35294117647,1991.25,1.07058823529412,0,1,1,unslotted,1,5,990,0.005,3,1044,1
83,83,0,1,1210.55421686747,0,1210.55421686747,1188,1.01204819277108,0,1,1,unslotted,1,5,990,0.005,4,18,1
86,86,0,1,1200.24418604651,0,1200.24418604651,1188,1,0,1,1,unslotted,1,5,990,0.005,5,0,1
68,68,0,1,1716.88235294118,0,1716.88235294118,2688.3,1.11764705882353,0,1,1,baseline,1,6,1188,0.6,1,792,1
79,79,0,1,1663.51898734177,0,1663.51898734177,2268,1,0,1,1,baseline,1,6,1188,0.6,2,0,1
85,85,0,1,1679.29411764706,29.8588235294118,1649.43529411765,2565,1,0,1,1,baseline,1,6,1188,0.6,3,0,1
83,83,0,1,1635.72289156627,0,1635.72289156627,2233.8,1,0,1,1,baseline,1,6,1188,0.6,4,0,1
86,86,0,1,1622.61627906977,0,1622.61627906977,1985.4,1,0,1,1,baseline,1,6,1188,0.6,5,0,1
68,68,0,1,1722.70588235294,0,1722.70588235294,2369.7,1,0,1,1,batch_clear,1,6,1188,0.55,1,0,1
79,79,0,1,1678.55696202532,0,1678.55696202532,2399.4,1,0,1,1,batch_clear,1,6,1188,0.55,2,0,1
85,85,0,1,1725.88235294118,27.5294117647059,1698.35294117647,2594.25,1.03529411764706,0,1,1,batch_clear,1,6,1188,0.55,3,396,1.01086956521739
83,83,0,1,1661.96385542169,0,1661.96385542169,2330.1,1.02409638554217,0,1,1,batch_clear,1,6,1188,0.55,4,198,1
86,86,0,1,1654.8488372093,0,1654.8488372093,2259,1,0,1,1,batch_clear,1,6,1188,0.55,5,0,1
68,68,0,1,1521.79411764706,0,1521.79411764706,1868.4,1,0,1,1,fast_first,1,6,1188,0.5,1,0,1
79,79,0,1,1513.13924050633,0,1513.13924050633,1575,1,0,1,1,fast_first,1,6,1188,0.5,2,0,1
85,85,0,1,1579.12941176471,18.2117647058824,1560.91764705882,2524.5,1.04705882352941,0,1,1,fast_first,1,6,1188,0.5,3,396,1
83,83,0,1,1511.67469879518,0,1511.67469879518,1608.3,1.02409638554217,0,1,1,fast_first,1,6,1188,0.5,4,198,1
86,86,0,1,1498.29069767442,0,1498.29069767442,1575,1,0,1,1,fast_first,1,6,1188,0.5,5,0,1
68,68,0,1,1437.48529411765,0,1437.48529411765,1777.5,1,0,1,1,unslotted,1,6,1188,0.0075,1,0,1
79,79,0,1,1415.39240506329,0,1415.39240506329,1386,1,0,1,1,unslotted,1,6,1188,0.0075,2,0,1
85,85,0,1,1565.04705882353,44.8941176470588,1520.15294117647,2925,1.04705882352941,0,1,1,unslotted,1,6,1188,0.0075,3,1224,1
83,83,0,1,1421.24096385542,0,1421.24096385542,1401.75,1.01204819277108,0,1,1,unslotted,1,6,1188,0.0075,4,18,1
86,86,0,1,1402.8488372093,0,1402.8488372093,1386,1,0,1,1,unslotted,1,6,1188,0.0075,5,0,1
233,233,0,1,676.042918454936,0,676.042918454936,1317.15,1.0343347639485,0,1,1,baseline,3,1,198,0.55,1,1188,1
255,255,0,1,703.447058823529,1.69411764705882,701.752941176471,1410.75,1.10980392156863,0,1,1,baseline,3,1,198,0.55,2,3168,1
248,248,0,1,669.084677419355,0,669.084677419355,1287,1.01612903225806,0,1,1,baseline,3,1,198,0.55,3,594,1
238,238,0,1,687.176470588235,2.23109243697479,684.94537815126,1258.2,1.04201680672269,0,1,1,baseline,3,1,198,0.55,4,1188,1
218,218,0,1,669.178899082569,0,669.178899082569,1233,1.04128440366972,0,1,1,baseline,3,1,198,0.55,5,792,1
233,233,0,1,653.948497854077,0,653.948497854077,1089.9,1.05150214592275,0,1,1,batch_clear,3,1,198,0.6,1,1188,1
255,255,0,1,627.352941176471,1.69411764705882,625.658823529412,1145.25,1.07450980392157,0,1,1,batch_clear,3,1,198,0.6,2,1980,1.00357142857143
248,248,0,1,647.528225806452,0,647.528225806452,1188,1.04838709677419,0,1,1,batch_clear,3,1,198,0.6,3,1386,1
238,238,0,1,633.932773109244,0.945378151260504,632.987394957983,1090.8,1.02941176470588,0,1,1,batch_clear,3,1,198,0.6,4,792,1.00369003690037
218,218,0,1,652.830275229358,0,652.830275229358,1130.4,1.00917431192661,0,1,1,batch_clear,3,1,198,0.6,5,198,1
233,233,0,1,515.43347639485,0,515.43347639485,600.3,1.05150214592275,0,1,1,fast_first,3,1,198,0.5,1,1584,1
255,255,0,1,512.435294117647,1.69411764705882,510.741176470588,585,1.04705882352941,0,1,1,fast_first,3,1,198,0.5,2,1188,1
248,248,0,1,517.391129032258,0,517.391129032258,585,1.04032258064516,0,1,1,fast_first,3,1,198,0.5,3,990,1
238,238,0,1,508.310924369748,0.113445378151261,508.197478991597,585,1.03361344537815,0,1,1,fast_first,3,1,198,0.5,4,792,1
218,218,0,1,527.490825688073,0,527.490825688073,649.8,1.07339449541284,0,1,1,fast_first,3,1,198,0.5,5,1584,1
233,233,0,1,410.44635193133,0,410.44635193133,403.65,1.01287553648069,0,1,1,unslotted,3,1,198,0.02,1,54,1
255,255,0,1,414.317647058824,1.48235294117647,412.835294117647,396,1.02745098039216,0,1,1,unslotted,3,1,198,0.02,2,135,1
248,248,0,1,417.120967741935,0,417.120967741935,396,1.01612903225806,0,1,1,unslotted,3,1,198,0.02,3,63,1
238,238,0,1,410.029411764706,0,410.029411764706,396,1.01680672268908,0,1,1,unslotted,3,1,198,0.02,4,54,1
218,218,0,1,424.651376146789,0,424.651376146789,502.2,1.02293577981651,0,1,1,unslotted,3,1,198,0.02,5,342,1
233,233,0,1,876.592274678112,0,876.592274678112,1359,1,0,1,1,baseline,3,2,396,0.55,1,198,1
255,255,0,1,905.329411764706,2.47058823529412,902.858823529412,1575,1.07843137254902,0,1,1,baseline,3,2,396,0.55,2,1980,1
248,248,0,1,915.786290322581,0,915.786290322581,1566.9,1.07258064516129,0,1,1,baseline,3,2,396,0.55,3,1782,1
238,238,0,1,912.63025210084,2.23109243697479,910.399159663866,1513.8,1.01680672268908,0,1,1,baseline,3,2,396,0.55,4,396,1
218,218,0,1,862.637614678899,0,862.637614678899,1384.2,1.01834862385321,0,1,1,baseline,3,2,396,0.55,5,1386,1
233,233,0,1,889.339055793991,0,889.339055793991,1681.2,1.09442060085837,0,1,1,batch_clear,3,2,396,0.6,1,2772,1
255,255,0,1,851.752941176471,4.02352941176471,847.729411764706,1390.5,1.03529411764706,0,1,1,batch_clear,3,2,396,0.6,2,1386,1.00357142857143
248,248,0,1,854.310483870968,0,854.310483870968,1370.7,1.03225806451613,0,1,1,batch_clear,3,2,396,0.6,3,792,1
238,238,0,1,828.605042016807,3.21428571428571,825.390756302521,1206,1.02941176470588,0,1,1,batch_clear,3,2,396,0.6,4,792,1.00369003690037
218,218,0,1,882.619266055046,0,882.619266055046,1517.4,1.03669724770642,0,1,1,batch_clear,3,2,396,0.6,5,990,1
233,233,0,1,721.931330472103,0,721.931330472103,938.25,1.0343347639485,0,1,1,fast_first,3,2,396,0.5,1,990,1
255,255,0,1,719.752941176471,2.47058823529412,717.282352941176,846,1.06274509803922,0,1,1,fast_first,3,2,396,0.5,2,1782,1
248,248,0,1,729.762096774194,0,729.762096774194,945.9,1.04838709677419,0,1,1,fast_first,3,2,396,0.5,3,1188,1
238,238,0,1,719.621848739496,1.39915966386555,718.22268907563,873,1.03361344537815,0,1,1,fast_first,3,2,396,0.5,4,792,1
218,218,0,1,742.747706422018,0,742.747706422018,1009.8,1.05504587155963,0,1,1,fast_first,3,2,396,0.5,5,1386,1
233,233,0,1,631.429184549356,0,631.429184549356,808.65,1.03862660944206,0,1,1,unslotted,3,2,396,0.034375,1,144,1
255,255,0,1,629.152941176471,2.25882352941176,626.894117647059,702,1.03529411764706,0,1,1,unslotted,3,2,396,0.034375,2,549,1
248,248,0,1,615.883064516129,0,615.883064516129,802.8,1.01209677419355,0,1,1,unslotted,3,2,396,0.034375,3,45,1
238,238,0,1,622.285714285714,0.378151260504202,621.90756302521,756,1.02100840336134,0,1,1,unslotted,3,2,396,0.034375,4,72,1
218,218,0,1,671.862385321101,0,671.862385321101,1063.8,1.08715596330275,0,1,1,unslotted,3,2,396,0.034375,5,1791,1
233,233,0,1,1110.28326180257,0,1110.28326180257,1750.05,1.0343347639485,0,1,1,baseline,3,3,594,0.55,1,792,1
255,255,0,1,1059.84705882353,3.24705882352941,1056.6,1638,1,0,1,1,baseline,3,3,594,0.55,2,396,1
248,248,0,1,1083.44758064516,0,1083.44758064516,1647.9,1.00806451612903,0,1,1,baseline,3,3,594,0.55,3,396,1
238,238,0,1,1128.93277310924,10.1344537815126,1118.79831932773,1863,1.00840336134454,0,1,1,baseline,3,3,594,0.55,4,198,1
218,218,0,1,1139.65596330275,0,1139.65596330275,1814.4,1.03669724770642,0,1,1,baseline,3,3,594,0.55,5,792,1
233,233,0,1,1114.5321888412,0,1114.5321888412,1884.15,1.05150214592275,0,1,1,batch_clear,3,3,594,0.6,1,1188,1
255,255,0,1,1059.84705882353,4.02352941176471,1055.82352941176,1620,1.02745098039216,0,1,1,batch_clear,3,3,594,0.6,2,1188,1.00357142857143
248,248,0,1,1082.64919354839,0,1082.64919354839,1793.7,1.06451612903226,0,1,1,batch_clear,3,3,594,0.6,3,1980,1
238,238,0,1,1049.89915966387,5.71008403361345,1044.18907563025,1661.4,1.01260504201681,0,1,1,batch_clear,3,3,594,0.6,4,990,1.00369003690037
218,218,0,1,1086.97706422018,0,1086.97706422018,1719,1.02752293577982,0,1,1,batch_clear,3,3,594,0.6,5,594,1
233,233,0,1,939.476394849785,0,939.476394849785,1251,1.05150214592275,0,1,1,fast_first,3,3,594,0.475,1,1386,1
255,255,0,1,941.047058823529,3.24705882352941,937.8,1210.5,1.06274509803922,0,1,1,fast_first,3,3,594,0.475,2,2178,1
248,248,0,1,946.125,0,946.125,1308.6,1.04838709677419,0,1,1,fast_first,3,3,594,0.475,3,1188,1
238,238,0,1,938.420168067227,4.04621848739496,934.373949579832,1418.4,1.03361344537815,0,1,1,fast_first,3,3,594,0.475,4,792,1
218,218,0,1,965.270642201835,0,965.270642201835,1405.8,1.05504587155963,0,1,1,fast_first,3,3,594,0.475,5,1386,1
233,233,0,1,847.31330472103,0,847.31330472103,1204.65,1.02145922746781,0,1,1,unslotted,3,3,594,0.0075,1,90,1
255,255,0,1,864.564705882353,3.03529411764706,861.529411764706,1140.75,1.02352941176471,0,1,1,unslotted,3,3,594,0.0075,2,135,1
248,248,0,1,840.883064516129,0,840.883064516129,1190.7,1.01612903225806,0,1,1,unslotted,3,3,594,0.0075,3,63,1
238,238,0,1,856.852941176471,2.76050420168067,854.09243697479,1206,1.03361344537815,0,1,1,unslotted,3,3,594,0.0075,4,108,1
218,218,0,1,877.417431192661,0,877.417431192661,1276.2,1.03669724770642,0,1,1,unslotted,3,3,594,0.0075,5,126,1
233,233,0,1,1283.63948497854,0,1283.63948497854,1897.65,1.02575107296137,0,1,1,baseline,3,4,792,0.6,1,594,1
255,255,0,1,1309.87058823529,4.02352941176471,1305.84705882353,2043,1.03921568627451,0,1,1,baseline,3,4,792,0.6,2,990,1
248,248,0,1,1287.03629032258,0,1287.03629032258,1882.8,1.05645161290323,0,1,1,baseline,3,4,792,0.6,3,1980,1
238,238,0,1,1362.70588235294,14.2941176470588,1348.41176470588,2464.2,1.11764705882353,0,1,1,baseline,3,4,792,0.6,4,2970,1
218,218,0,1,1327.66513761468,0,1327.66513761468,2154.6,1.03669724770642,0,1,1,baseline,3,4,792,0.6,5,792,1
233,233,0,1,1324.42918454936,0,1324.42918454936,2146.95,1.00858369098712,0,1,1,batch_clear,3,4,792,0.55,1,198,1
255,255,0,1,1351.02352941176,4.02352941176471,1347,2187,1.13725490196078,0,1,1,batch_clear,3,4,792,0.55,2,3762,1.00357142857143
248,248,0,1,1315.77822580645,0,1315.77822580645,2072.7,1.00806451612903,0,1,1,batch_clear,3,4,792,0.55,3,396,1
238,238,0,1,1317.78151260504,15.9579831932773,1301.82352941176,2088,1.02100840336134,0,1,1,batch_clear,3,4,792,0.55,4,990,1.01115241635688
218,218,0,1,1389.42660550459,0,1389.42660550459,2557.8,1.15596330275229,0,1,1,batch_clear,3,4,792,0.55,5,3168,1
233,233,0,1,1185.0643776824,0,1185.0643776824,1662.3,1.07725321888412,0,1,1,fast_first,3,4,792,0.5,1,1980,1
255,255,0,1,1150.69411764706,4.02352941176471,1146.67058823529,1606.5,1.05490196078431,0,1,1,fast_first,3,4,792,0.5,2,2178,1
