protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,5,5,2,396,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1810532,1699707,0.938788709616842,24,103,0,4230,0.811023622047244,0,4230,166,64,27,36,103,0,NaN,NaN,19,5,NaN,10,20,0,10,20,744,20,6,21,3,0,29760,29725,3,32,0,1,29016,28982,34,5,48,44,6579,149.522727272727,3,1782,594,1980,1746,1980
sb_cb,fixed_packet,5,5,3,594,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2449020,2307933,0.942390425557978,29,142,0,4128,0.830409356725146,0,4128,239,80,23,68,142,0,NaN,NaN,29,7,NaN,43,86,0,43,86,744,84,6,21,2,0,29760,29704,3,53,0,2,29016,28962,54,7,124,120,19602,163.35,2,1584,792,3348,2709,3348
sb_cb,fixed_packet,5,5,4,792,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3078296,2907703,0.94458200251048,29,118,0,4258,0.802721088435374,0,4258,196,64,22,61,118,0,NaN,NaN,31,3,NaN,17,34,0,17,34,742,32,6,21,1,0,29680,29627,1,52,0,1,28938,28886,52,3,68,66,9504,144,1,990,990,1980,1692,1980
sb_cb,fixed_packet,5,5,5,990,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3718740,3517666,0.9459295352727,21,157,0,4210,0.882022471910112,0,4210,250,56,23,99,157,0,NaN,NaN,40,9,NaN,42,84,0,42,84,744,82,6,21,1,0,29760,29702,2,56,0,3,29016,28961,55,9,135,131,20592,157.190839694656,1,1188,1188,3348,2727,3348
sb_cb,fixed_packet,5,5,6,1188,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,4368056,4136440,0.946975038781554,20,283,0,4768,0.933993399339934,0,4768,435,71,53,179,283,0,NaN,NaN,54,22,NaN,142,288,0,142,288,742,282,6,21,2,0,29680,29617,4,59,0,0,28938,28875,63,22,360,358,59355,165.796089385475,2,2772,1386,8820,6705,8820
sb_cb,fixed_payload,10,10,1,198,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2213424,2060822,0.931056137459429,69,346,0,7256,0.833734939759036,0,7256,580,259,79,77,346,0,NaN,NaN,62,21,NaN,27,54,0,27,54,1404,50,6,21,17,0,56160,55992,20,148,0,3,54756,54591,165,23,153,133,20259,152.323308270677,17,6732,396,5760,5112,5760
sb_cb,fixed_payload,10,5,2,396,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1810532,1699707,0.938788709616842,24,103,0,4230,0.811023622047244,0,4230,166,64,27,36,103,0,NaN,NaN,19,5,NaN,10,20,0,10,20,744,20,6,21,3,0,29760,29725,3,32,0,1,29016,28982,34,5,48,44,6579,149.522727272727,3,1782,594,1980,1746,1980
sb_cb,fixed_payload,10,3.33333333333333,3,594,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1675002,1577400,0.941730218829589,16,85,0,2637,0.841584158415842,0,2637,123,31,25,45,85,0,NaN,NaN,12,6,NaN,25,51,0,25,51,508,49,6,21,2,0,20320,20302,1,17,0,0,19812,19794,18,6,69,67,10962,163.611940298507,2,1584,792,2394,1926,2394
sb_cb,fixed_payload,10,2.5,4,792,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1491614,1411234,0.946112063844936,0,81,0,1804,1,0,1804,123,11,37,33,81,0,NaN,NaN,11,13,NaN,16,36,0,16,36,359,34,6,21,2,0,14360,14342,4,14,0,0,14001,13983,18,13,60,58,9639,166.189655172414,2,1980,990,2628,2223,2628
sb_cb,fixed_payload,10,2,5,990,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1613150,1522020,0.94350804326938,7,12,0,1555,0.631578947368421,0,1555,26,9,0,10,12,0,NaN,NaN,5,0,NaN,4,8,0,4,8,322,8,6,21,0,0,12880,12869,0,11,0,0,12558,12547,11,0,13,13,1845,141.923076923077,0,0,NaN,234,180,234
sb_cb,fixed_payload,10,1.66666666666667,6,1188,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1291714,1221423,0.94558315540437,0,13,0,1010,1,0,1010,15,1,0,12,13,0,NaN,NaN,3,0,NaN,10,20,0,10,20,220,20,6,21,0,0,8800,8794,0,6,0,0,8580,8574,6,0,23,23,3879,168.652173913043,0,0,NaN,414,297,414
sb_cb,fixed_payload,15,15,1,198,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3550962,3304398,0.930564168245112,490,2671,0,15956,0.844985763998735,0,15956,4398,1283,443,1435,2671,0,NaN,NaN,436,139,NaN,436,1093,0,436,1093,2236,1007,6,21,82,0,89440,88395,112,933,0,25,87204,86184,1020,148,1689,1582,249516,157.721871049305,82,32472,396,44712,33489,44712
sb_cb,fixed_payload,15,7.5,2,396,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2661326,2498675,0.938883473877308,45,322,0,6267,0.877384196185286,0,6267,568,174,96,97,322,0,NaN,NaN,61,30,NaN,26,52,0,26,52,1094,50,6,21,9,0,43760,43626,15,119,0,3,42666,42535,131,30,153,141,21222,150.510638297872,9,5346,594,6102,5436,6102
