protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,5,5,5,950,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4179552,3940715,0.942855837180636,20,396,0,5746,0.951923076923077,0,5746,675,200,162,54,396,0,NaN,NaN,18,33,NaN,11,22,474,3,0,18960,18865,8,87,0,2,18486,18393,93,33,73,68,11660,171.470588235294,3,3420,1140,4210,3890,4210
sb_cb,fixed_packet,5,5,6,1140,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4952832,4673816,0.943665361554763,52,819,0,5776,0.940298507462687,0,5776,1393,269,505,97,819,0,NaN,NaN,32,76,NaN,13,26,481,10,0,19240,19065,16,159,0,2,18759,18586,173,76,140,128,22045,172.2265625,10,13300,1330,13960,12975,13960
sb_cb,fixed_payload,10,10,1,190,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2734430,2543027,0.930002596519201,161,596,0,11637,0.787318361955086,0,11637,954,521,126,110,596,0,NaN,NaN,49,14,NaN,13,26,938,12,0,37520,37303,15,202,0,3,36582,36368,214,15,97,82,11770,143.536585365854,12,4560,380,3920,3620,3920
sb_cb,fixed_payload,10,5,2,380,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,14507664,11821823,0.814867438341555,1938,122262,19,236059,0.9843961352657,8.04818746346547e-05,236078,664484,11278,1728,111194,122262,19,NaN,NaN,7367,12817,NaN,61646,307879,762,142,0,30480,19228,1108,10144,0,308,29718,18774,10944,16188,308415,307965,56852720,184.607731398048,142,80940,570,6213260,1767175,6213260
sb_cb,fixed_payload,10,3.33333333333333,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1741064,1642740,0.943526487251474,0,3,0,891,1,0,891,3,3,0,0,3,0,NaN,NaN,1,0,NaN,1,2,296,0,0,11840,11838,0,2,0,0,11544,11542,2,0,2,2,175,87.5,0,0,NaN,40,40,40
sb_cb,fixed_payload,10,2.5,4,760,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1590600,1506772,0.947297875015717,0,6,0,648,1,0,648,18,6,0,0,6,0,NaN,NaN,2,4,NaN,0,0,216,0,0,8640,8633,1,6,0,0,8424,8417,7,4,6,6,995,165.833333333333,0,0,NaN,120,120,120
sb_cb,fixed_payload,10,2,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1512658,1433908,0.947939322702157,0,3,0,516,1,0,516,3,3,0,0,3,0,NaN,NaN,1,0,NaN,1,2,171,0,0,6840,6838,0,2,0,0,6669,6667,2,0,2,2,155,77.5,0,0,NaN,40,40,40
sb_cb,fixed_payload,10,1.66666666666667,6,1140,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1507888,1432128,0.949757541674183,0,0,0,438,NaN,0,438,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,146,0,0,5840,5840,0,0,0,0,5694,5694,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,15,15,1,190,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,12669194,10708558,0.845243825297805,183361,370587,10737,124495,0.668992396398218,0.0793968883104591,135232,2529564,388146,38547,127255,370587,10737,NaN,NaN,57766,65605,NaN,38585,151027,4161,479,0,166440,65448,10756,90236,0,2342,162279,63629,98650,91166,152520,149699,27778280,185.560892190329,479,182020,380,3084990,1124580,3084990
sb_cb,fixed_payload,15,7.5,2,380,0.5,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,3264956,3056084,0.936026090397543,62,272,0,3315,0.81437125748503,0,3315,431,182,78,74,272,0,NaN,NaN,35,36,NaN,57,134,745,10,0,29800,29596,15,189,0,7,29055,28858,197,37,191,174,27995,160.890804597701,10,5700,570,7280,6110,7280
sb_cb,fixed_payload,15,5,3,570,0.1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2918606,2741822,0.939428617634583,151,326,0,6282,0.683438155136268,0,6282,578,388,15,74,326,0,NaN,NaN,21,6,NaN,12,23,499,1,0,19960,19817,2,141,0,4,19461,19322,139,6,47,42,6220,148.095238095238,1,760,760,1410,1325,1410
sb_cb,fixed_payload,15,3.75,4,760,0.5,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2733828,2569410,0.939857957413561,13,24,0,1530,0.648648648648649,0,1530,60,28,0,9,24,0,NaN,NaN,6,4,NaN,11,24,372,0,0,14880,14840,1,39,0,1,14508,14469,39,4,24,23,2745,119.347826086957,0,0,NaN,460,425,460
sb_cb,fixed_payload,15,3,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2584388,2427681,0.939363980950229,1,14,0,909,0.933333333333333,0,909,30,14,0,1,14,0,NaN,NaN,5,5,NaN,9,19,293,0,0,11720,11687,1,32,0,1,11427,11395,32,5,21,20,2235,111.75,0,0,NaN,400,380,400
sb_cb,fixed_payload,15,2.5,6,1140,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,2449132,2302128,0.93997710209168,7,12,0,732,0.631578947368421,0,732,19,19,0,0,12,0,NaN,NaN,4,0,NaN,6,12,238,0,0,9520,9497,0,23,0,1,9282,9260,22,0,11,10,815,81.5,0,0,NaN,200,200,200
sb_cb,fixed_payload,5,5,1,190,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,4257216,3554857,0.835019176851727,25,11235,0,263244,0.997779751332149,0,263244,56605,358,153,10749,11235,0,NaN,NaN,138,85,NaN,18113,109541,481,32,0,19240,18828,74,338,0,5,18759,18352,407,96,109620,109583,20242510,184.723086610149,32,12160,380,2197740,420235,2197740
sb_cb,fixed_payload,5,2.5,2,380,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,1020784,956417,0.936943564946159,6,8,0,699,0.571428571428571,0,699,15,14,0,0,8,0,NaN,NaN,3,0,NaN,1,2,232,0,0,9280,9269,0,11,0,0,9048,9037,11,0,4,4,360,90,0,0,NaN,80,80,80
sb_cb,fixed_payload,5,1.66666666666667,3,570,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,917592,861516,0.938887871733842,0,0,0,468,NaN,0,468,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,156,0,0,6240,6240,0,0,0,0,6084,6084,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,1.25,4,760,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,824768,776580,0.941573872895166,0,0,0,336,NaN,0,336,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,112,0,0,4480,4480,0,0,0,0,4368,4368,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,1,5,950,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,778448,733622,0.942416192218363,0,0,0,264,NaN,0,264,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,88,0,0,3520,3520,0,0,0,0,3432,3432,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cb,fixed_payload,5,0.833333333333333,6,1140,1,2,directional,-62,counterfactual start corrupts an existing decodable RTS/CTS/data reception,784928,741328,0.944453504015655,0,0,0,228,NaN,0,228,0,0,0,0,0,0,NaN,NaN,0,0,NaN,0,0,76,0,0,3040,3040,0,0,0,0,2964,2964,0,0,0,0,0,NaN,0,0,NaN,0,0,0
sb_cf,fixed_packet,5,5,1,190,0.05,2,directional,-62,AP single-user lock or a start that is physically undecodable/harmful,8795577,3535192,0.401928378320149,4165454,1815553,11569,13712,0.303553063890412,0.457616391756655,NaN,5980849,NaN,NaN,NaN,1815553,11569,122,3,NaN,NaN,70505,8690,18514,1,119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70587,NaN,NaN,NaN,NaN,NaN,NaN,13412885,1355540,13412885
sb_cf,fixed_payload,5,2.5,2,380,0.05,2,directional,-62,AP single-user lock or a start that is physically undecodable/harmful,21240587,6571168,0.309368474609482,10703079,2498959,10655,4024,0.189285851169342,0.725866884665168,NaN,13202005,NaN,NaN,NaN,2498959,10655,83,1,NaN,NaN,99544,7994,16605,0,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99565,NaN,NaN,NaN,NaN,NaN,NaN,37840555,3561285,37840555
