protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_censored,n_censored_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded
sb_cb,fixed_packet,5,5,2,396,0.68,0.68,self_stable_validated,0.0003,0.96,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,654.986631016043,NaN,3.96256684491979,NaN,651.024064171123,NaN,654.986631016043,NaN,523.5,NaN,985.65,NaN,3078.06,NaN,523.5,NaN,985.65,NaN,3078.06,NaN,0,NaN,44.1818181818182,NaN,0,NaN,78.9144385026738,NaN,40.427807486631,NaN,162.5,NaN,325,NaN,0,NaN,187,NaN,187,NaN,374,NaN,374,NaN,NaN,NaN,0.060775,NaN,0.1224825,NaN,0.0613825,NaN,0.0611,NaN,-0.139907073670441,NaN,1,NaN,0,NaN,0.785467205750225,NaN,289,NaN,56,NaN,1.29946524064171,NaN,870,NaN,NaN,NaN,870,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,131.2327181,0
s7_clean,fixed_packet,5,5,2,396,0.98,0.98,self_stable_validated,0.00012,0.98,1,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,589.555080213852,NaN,36.8844919786098,NaN,552.670588235243,NaN,589.555080213852,NaN,444.399999999907,NaN,658.150000000006,NaN,7954.09000000002,NaN,444.399999999907,NaN,658.150000000006,NaN,7954.09000000002,NaN,0.0299465240640466,NaN,55.4545454545455,NaN,0.240641711229947,NaN,35.9187165774886,NaN,52.6267379679144,NaN,83.4000000000001,NaN,325,NaN,0,NaN,187,NaN,187,NaN,374,NaN,374,NaN,NaN,NaN,0.060775,NaN,0.11024679999999,NaN,0.0494717999999904,NaN,0.060775,NaN,-0.0418800418800419,NaN,1,NaN,1.25879280013712e-16,NaN,0.785467205750225,NaN,344,NaN,118,NaN,1.63101604278075,NaN,3150.6,NaN,1575.3,NaN,3150.6,NaN,1575.30000000069,NaN,3150.60000000137,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,156.9099361,0
s7_busy,fixed_packet,5,5,2,396,0.62,0.62,self_stable_validated,0.0036,0.96,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,1282.84385026733,NaN,25.6770053475935,NaN,1257.16684491973,NaN,1282.84385026733,NaN,966.399999999907,NaN,3451.74999999991,NaN,5198.74000000002,NaN,966.399999999907,NaN,3451.74999999991,NaN,5198.74000000002,NaN,0.119786096256809,NaN,69.2727272727273,NaN,9.57754010695187,NaN,683.274866310109,NaN,86.5219251336899,NaN,83.4000000000001,NaN,325,NaN,0,NaN,187,NaN,186,NaN,374,NaN,372,NaN,NaN,NaN,0.06045,NaN,0.23790239999999,NaN,0.17745239999999,NaN,0.06045,NaN,-0.114492114492115,NaN,1,NaN,0.00836225275575193,NaN,0.787704918032787,NaN,449,NaN,194,NaN,2.03743315508021,NaN,44562.3000000005,NaN,20532.3000000003,NaN,44562.3000000005,NaN,17675.3999999815,NaN,38394.5999999602,NaN,1,NaN,1,NaN,1,NaN,0.0053475935828877,NaN,1,NaN,9.35,NaN,475.3415617,0
unslotted,fixed_packet,5,5,2,396,0.9,0.9,self_stable_validated,0.00022,0.98,0,0,NaN,NaN,2,1,1,1,0,187,NaN,11,NaN,176,NaN,176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5229.55722327948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492.311767445033,NaN,16588.5275757857,NaN,16656.5808348169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187,NaN,11,NaN,374,NaN,22,NaN,NaN,NaN,0.003575,NaN,89.8161691294552,NaN,89.7856191294552,NaN,0.03055,NaN,163.243363243363,NaN,0.0588235294117647,NaN,NaN,NaN,0.159210526315789,NaN,457194,NaN,251,NaN,23.8181818181818,NaN,6622744.5,NaN,NaN,NaN,6622744.5,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0.941176470588235,NaN,1,NaN,9.35,NaN,26.113151,0
sf_cf,fixed_packet,5,5,3,594,NaN,0.66,validation_failed,0.009,0.68,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4991661,0
sf_cb,fixed_packet,5,5,3,594,NaN,0.94,validation_failed,0.94,0.94,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7539007,0
sb_cf,fixed_packet,5,5,3,594,NaN,0.007,validation_failed,0.0068,0.007,0,0,NaN,NaN,2,1,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,187.1944157,0
sb_cb,fixed_packet,5,5,3,594,0.88,0.88,self_stable_validated,0.0002,0.96,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,861.957219251337,NaN,12.0053475935829,NaN,849.951871657754,NaN,861.957219251337,NaN,686,NaN,1283.15,NaN,4604.87,NaN,686,NaN,1283.15,NaN,4604.87,NaN,0,NaN,49.0909090909091,NaN,0,NaN,89.7700534759358,NaN,61.0909090909091,NaN,162.5,NaN,487.5,NaN,0,NaN,187,NaN,187,NaN,561,NaN,561,NaN,NaN,NaN,0.0911625,NaN,0.161186,NaN,0.0700235,NaN,0.0911625,NaN,-0.074086098179645,NaN,1,NaN,0,NaN,0.785467205750225,NaN,322,NaN,83,NaN,1.44385026737968,NaN,1363,NaN,NaN,NaN,1363,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,122.0265095,0
s7_clean,fixed_packet,5,5,3,594,0.98,0.98,self_stable_validated,0.00014,0.98,1,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,741.611229946473,NaN,7.30909090909054,NaN,734.302139037382,NaN,741.611229946473,NaN,606.899999999907,NaN,1085.69999999991,NaN,4666.71000000002,NaN,606.899999999907,NaN,1085.69999999991,NaN,4666.71000000002,NaN,0.0545454545458281,NaN,47.6363636363636,NaN,0.529411764705882,NaN,81.7326203208042,NaN,33.4491978609626,NaN,83.4000000000001,NaN,487.5,NaN,0,NaN,187,NaN,187,NaN,561,NaN,561,NaN,NaN,NaN,0.0911625,NaN,0.13868129999999,NaN,0.0475187999999904,NaN,0.0911625,NaN,-0.0840480840480841,NaN,1,NaN,0,NaN,0.785467205750225,NaN,465,NaN,75,NaN,1.40106951871658,NaN,6381.3,NaN,3017.1,NaN,6381.3,NaN,827.700000000186,NaN,2002.50000000052,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,162.9075127,0
s7_busy,fixed_packet,5,5,3,594,0.6,0.6,self_stable_validated,0.0044,0.94,0,0,NaN,NaN,2,1,1,1,1,187,NaN,187,NaN,0,NaN,0,NaN,1797.98021390369,NaN,31.5802139037421,NaN,1766.39999999995,NaN,1797.98021390369,NaN,1326.89999999991,NaN,4268.09999999991,NaN,7398.65999999991,NaN,1326.89999999991,NaN,4268.09999999991,NaN,7398.65999999991,NaN,0.136363636364881,NaN,68.7272727272727,NaN,11.2139037433155,NaN,1030.23850267374,NaN,85.1839572192513,NaN,83.4000000000001,NaN,487.5,NaN,0,NaN,187,NaN,187,NaN,561,NaN,561,NaN,NaN,NaN,0.0911625,NaN,0.33622229999999,NaN,0.24505979999999,NaN,0.0911625,NaN,-0.992820992820993,NaN,1,NaN,0,NaN,0.785467205750225,NaN,447,NaN,191,NaN,2.02139037433155,NaN,37593.6000000003,NaN,17141.4000000002,NaN,37593.6000000003,NaN,14604.8999999855,NaN,32013.2999999679,NaN,1,NaN,1,NaN,1,NaN,0,NaN,1,NaN,9.35,NaN,417.2327242,0
