protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,q,n_eval_runs,cca_mode,rx_sens_dbm,cca_truth_definition,raw_busy_opportunities,raw_misses,raw_miss_rate,eligible_tp,eligible_fn,eligible_fp,eligible_tn,eligible_fnr,eligible_fpr,eligible_decodable_negative,eligible_self_undecodable,eligible_control_harm,eligible_data_harm,eligible_rts_harm,harmful_missed_opportunities,false_alarm_opportunities,sinr_harmful_start_attempts,single_user_harmful_start_attempts,late_start_handshake,late_start_data,late_start_attempts,simultaneous_start_events,simultaneous_start_attempts,capture_successes,classic_collision_events,classic_collision_attempts,rts_success,rts_fail_collision,cts_sinr_th_db,data_sinr_th_db,partial_collision_events,full_collision_events,icr_expected,icr_decoded,icr_miss_halfduplex,icr_miss_low_sinr,icr_miss_sector_timing,icr_winner_miss,nav_expected,nav_set,nav_not_set,nav_protection_violations,failed_attempts_or_events,rts_fail_total,rts_failure_detection_delay_us,mean_rts_failure_detection_delay_us,data_fail_sinr,data_failure_transaction_delay_us,mean_data_failure_transaction_delay_us,collision_waste_us,collision_channel_time_us,collision_tx_airtime_us
sb_cb,fixed_packet,5,5,2,396,0.45,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1687272,1585350,0.939593616204145,8,142,0,3810,0.946666666666667,0,3810,237,39,62,49,142,0,NaN,NaN,25,19,NaN,15,31,0,15,31,694,22,6,21,5,0,27760,27704,9,47,0,2,27066,27012,54,20,73,66,10449,158.318181818182,5,2970,594,3168,2745,3168
sb_cb,fixed_packet,5,5,3,594,0.55,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2276656,2147371,0.943212764686452,18,148,0,3675,0.891566265060241,0,3675,233,49,46,71,148,0,NaN,NaN,24,14,NaN,39,77,0,39,77,691,73,6,21,3,0,27640,27591,5,44,0,1,26949,26901,48,14,115,111,17811,160.459459459459,3,2376,792,3780,3123,3780
sb_cb,fixed_packet,5,5,4,792,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2865110,2708601,0.945374174115479,21,155,0,4020,0.880681818181818,0,4020,259,53,42,81,155,0,NaN,NaN,29,15,NaN,27,53,0,27,53,692,53,6,21,2,0,27680,27620,4,56,0,3,26988,26931,57,15,102,97,14895,153.556701030928,2,1980,990,3330,2844,3330
sb_cb,fixed_packet,5,5,5,990,0.5,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,3496810,3308909,0.94626502440796,55,489,0,4325,0.898897058823529,0,4325,671,120,205,219,489,0,NaN,NaN,54,50,NaN,87,206,0,87,206,699,192,6,21,9,0,27960,27862,7,91,0,3,27261,27166,95,52,308,296,47286,159.75,9,10692,1188,14238,11682,14238
sb_cb,fixed_packet,5,5,6,1188,0.45,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,4093624,3879610,0.947720161890784,32,550,0,4359,0.945017182130584,0,4359,961,81,252,249,550,0,NaN,NaN,54,98,NaN,78,160,0,78,160,703,143,6,21,8,0,28120,27995,16,109,0,8,27417,27300,117,98,311,295,48933,165.874576271186,8,11088,1386,14814,12879,14814
sb_cb,fixed_payload,10,10,1,198,0.4,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,2200362,2048712,0.931079522369501,115,490,0,8195,0.809917355371901,0,8195,866,361,96,148,490,0,NaN,NaN,95,22,NaN,41,83,0,41,83,1393,77,6,21,16,0,55720,55503,23,194,0,1,54327,54111,216,23,211,194,28440,146.59793814433,16,6336,396,6660,5832,6660
sb_cb,fixed_payload,10,5,2,396,0.45,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1687272,1585350,0.939593616204145,8,142,0,3810,0.946666666666667,0,3810,237,39,62,49,142,0,NaN,NaN,25,19,NaN,15,31,0,15,31,694,22,6,21,5,0,27760,27704,9,47,0,2,27066,27012,54,20,73,66,10449,158.318181818182,5,2970,594,3168,2745,3168
sb_cb,fixed_payload,10,3.33333333333333,3,594,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1602392,1509798,0.94221513836814,5,41,0,2524,0.891304347826087,0,2524,87,9,0,37,41,0,NaN,NaN,12,6,NaN,26,52,0,26,52,489,52,6,21,0,0,19560,19520,2,38,0,4,19071,19035,36,6,74,70,12231,174.728571428571,0,0,NaN,1260,936,1260
sb_cb,fixed_payload,10,2.5,4,792,0.8,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1467022,1387709,0.945936052765398,2,61,0,1584,0.968253968253968,0,1584,112,14,30,19,61,0,NaN,NaN,12,15,NaN,9,18,0,9,18,354,16,6,21,2,0,14160,14133,4,23,0,1,13806,13780,26,15,46,43,7038,163.674418604651,2,1980,990,2358,2106,2358
sb_cb,fixed_payload,10,2,5,990,0.6,3,directional,-62,classic RTS overlap or counterfactual CTS/DATA SINR corruption,1272184,1200359,0.943541971916012,2,14,0,1214,0.875,0,1214,20,8,0,8,14,0,NaN,NaN,4,0,NaN,1,2,0,1,2,254,0,6,21,0,0,10160,10153,0,7,0,0,9906,9899,7,0,4,4,405,101.25,0,0,NaN,72,63,72
